,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10566938729761415,0.09677789752201693,0.11809321330538944,0.11707892840271508,0.08871025345292645,0.1596334028099746,0.01718778913577353,0.09421637671316928,0.10933619,0.10750454427421449,0.11198882036236973
energy,0.06560413115927456,0.07039591744785319,0.029751520280796057,0.050171104759175425,0.003078730710394484,0.015322888743816718,0.004638466072969021,0.028746763348191588,0.02509594,0.07270838743183589,0.03553619356889912
key,0.0224245934787467,0.043141358497616834,0.005742648914752612,0.007028219591301279,0.0,0.0027562862883445754,0.0,0.008809939067538906,0.016817197,0.02492858997662945,0.0036568714593810617
loudness,0.0684733319604793,0.061902337421202304,0.050300958829504056,0.07839345852216935,0.05780850691296285,0.023291057793950853,0.37799392975460455,0.047991469716254925,0.048762545,0.08153726304855882,0.06213187055925185
mode,0.006326710490602401,0.01798746628160572,0.0033707106882933852,0.011422782046666172,0.0068657756159499145,0.04400589470254376,0.0,0.0015871802144250197,0.029882846,0.009088548428979486,0.006546380056145567
speechiness,0.09692264288672058,0.08080787569189844,0.1219190783192688,0.10358503455610951,0.12342684398466466,0.04491649476044179,0.0,0.10187319243489569,0.101835586,0.08517268242015061,0.09667832666544662
acousticness,0.12114162858007536,0.11381442404400673,0.12912003950898884,0.16116431308290738,0.23387644518401354,0.15530592283334693,0.024178926738731038,0.12973892494890485,0.120746486,0.0929628667878473,0.1433867217495932
instrumentalness,0.15090200565042067,0.15236548106408188,0.2561080440331305,0.15718114552942683,0.16789302305459866,0.270061594152082,0.03359296064804201,0.26721802529675126,0.22999874,0.08595170085692028,0.250016748136748
liveness,0.05050626448679052,0.051360108896055426,0.02831155249130005,0.0257425816507694,0.013940281777350997,0.07747303305965786,0.0,0.03518237990610836,0.033883095,0.05712801869644248,0.021245258354549212
valence,0.06392438449664392,0.07029939517690037,0.048479041700387256,0.0766187335135612,0.031459807988946445,0.13664858587131573,0.01672713488036655,0.038622935521137575,0.03514877,0.10516748896390547,0.06256941750512757
tempo,0.050608878313970325,0.053361081940186385,0.03555540077892396,0.049566675336429576,0.021087811461511556,0.0006078380376211586,0.08275343375172409,0.03271002934265946,0.02558632,0.07764217086471047,0.03661291193129644
time_signature,0.005590591854231915,0.014019562462750561,0.0039628952963226835,0.0036116635771504773,0.011136755861117367,0.06284607289765613,0.0,0.00572591361001392,0.04262247,0.004674110620618021,0.006220187646974562
chorus_hit,0.04360408126243436,0.04732381604469392,0.01832771254071652,0.02153640921803337,0.0,0.0013622040466529668,0.38221747232896053,0.03887031496937854,0.02163006,0.07504544274214489,0.01815415564759323
sections,0.03830804132010521,0.054414414503964066,0.013864823208774019,0.023016656290327345,0.021832620747568966,0.005768326088042992,0.03745284223864362,0.009294573193927704,0.036289636,0.03271877434432615,0.016193113643934862
duration_ms,0.10999332676188994,0.07202886300516716,0.13709236010345185,0.11388229392325744,0.21888314324799418,3.97914551863214e-07,0.023257044450185133,0.15941198171664278,0.122364186,0.08776941054271618,0.12906302271268896
