,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.1089283107805366,0.10387247200771345,0.11852664347430954,0.1118424634069002,0.0780588884643823,0.17589144508746812,0.0,0.018496697010229254,0.09814786177314314,0.07857625,0.10326086956521739,0.10689828052564046
energy,0.06598046659038802,0.07010705098897276,0.028092036789648472,0.042710804850444484,0.0,0.06148074053961587,0.0,0.013239719835694125,0.02383517501588137,0.033375297,0.06055900621118013,0.050194969030561414
key,0.023442292671295495,0.03683028009852777,0.00584573492099155,0.009336109432007918,0.0,0.00044584276966316784,0.0,0.0011203107732126753,0.011457848965186168,0.02167533,0.017080745341614908,0.01259372916977324
loudness,0.06723419676720895,0.05704324645244225,0.04868375936646942,0.07933388109000179,0.032050123690220894,0.0065072711756742055,0.0,0.42970292805140226,0.046795810671469464,0.04436959,0.09083850931677019,0.05991934629502274
mode,0.006223649308929105,0.019198761372967797,0.0032330109763296306,0.008408615043873715,0.0,0.023279619877718344,0.0,0.004944032414402723,0.001607334933681626,0.033796635,0.010869565217391304,0.013756197395689174
speechiness,0.0963299096764358,0.08114308736566443,0.11857027689496587,0.10504704119042678,0.13401036126094318,0.07951601179560076,0.0,0.003970866046898014,0.10135882713258551,0.087304026,0.08462732919254658,0.08741709617976515
acousticness,0.12056117390045695,0.12471317470325673,0.1305628380323039,0.1585253926093881,0.18221746350755091,0.1627395462064654,0.0,0.030728246967092507,0.12903604911106034,0.11321473,0.10869565217391304,0.12486277550386653
instrumentalness,0.14241456607491007,0.16774497427923568,0.2570767104417628,0.16529595489262663,0.25387831889673995,0.28025488433672013,0.0,0.03800686821026176,0.2703100035160677,0.2609744,0.09782608695652174,0.19382653679379885
liveness,0.05059392421830745,0.043374661463584235,0.02979110735113944,0.031559899753504796,0.01108517992089476,0.09839320339891468,0.0,0.0067645429503038566,0.031272384462589044,0.032969464,0.04114906832298137,0.027282950229493008
valence,0.06691013460754723,0.07091259371106734,0.04940754966675328,0.07315195198654424,0.0,0.09162153044363842,0.0,0.021383773207063226,0.03812537940116776,0.04254604,0.11490683229813664,0.08429768884760909
tempo,0.05222038051715695,0.045659985015427215,0.03270525201534834,0.047332377092717384,0.010223091652353716,8.876269868190926e-06,0.0,0.015206303279391256,0.034747798595831506,0.032081332,0.08152173913043478,0.057534756157432455
time_signature,0.005695488244539677,0.01637444184852619,0.0034312730445566746,0.006195997070217238,0.0027878193871747467,0.015103105578857405,0.0,0.0024401618772764834,0.004970280164936858,0.048523083,0.009316770186335404,0.00778102101681109
chorus_hit,0.04493725986971809,0.03790778117314362,0.01770648374972633,0.026372243546412467,0.0,0.0004062776863556714,0.0,0.28953226800835385,0.041410382316288054,0.025483634,0.05434782608695652,0.0364150953760501
sections,0.0399078224970317,0.053305561264123606,0.013855529490560113,0.018924112837585706,0.027478332334129493,0.0043513989427230336,0.0,0.01515845386866853,0.007089104026228903,0.040641654,0.036490683229813664,0.028638207342599795
duration_ms,0.10862042427553796,0.0718119282553468,0.1425117937851344,0.11596315519734852,0.26821042088561026,2.4589071673102076e-07,1.0,0.10930482749974946,0.15983575991388269,0.1044686,0.08850931677018634,0.10858135013588706
