,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.04908461343610629,0.057028592793611485,0.055142662421896506,0.04004643396181391,0.0,0.030481155518571335,0.0,0.004183097090758265,0.0,0.08074212161978901,0.042024296,0.07735618115055079
energy,0.08259504608830394,0.08292212758809667,0.053485428032233134,0.08688526091486508,0.0,0.032054837757808985,0.0,0.0053978127697121535,0.0003113444184553191,0.052506084354857735,0.04578909,0.07858017135862913
key,0.014096214609741108,0.03226448534782937,0.009074956843215487,0.010140412764024897,0.0,0.09171777939380116,0.0,0.02780959005978217,0.003407470316614186,0.00725407512821434,0.022287045,0.026193390452876376
loudness,0.08721510545378304,0.06790329497856509,0.045802485460961835,0.0533880000177559,0.043226128861976534,0.3506793069597039,0.0005376714629399364,0.027213099880534566,0.34427125763720146,0.029016075451078576,0.05427801,0.0788249694002448
mode,0.033731998851778494,0.05433950492558062,0.030465321249339438,0.052762762811241114,0.03441093041492784,0.07808301972882896,0.0,0.007752166162946514,0.00031130652463873265,0.024953430769652944,0.1127071,0.022031823745410038
speechiness,0.08114734839832856,0.06507961970474065,0.10303461815126547,0.10979919561775095,0.03184328044833383,0.009704588359422919,0.0,0.00038650193139322137,0.0,0.08479399501197571,0.06263852,0.1324357405140759
acousticness,0.13173462193787105,0.10183435294962052,0.1397548631840007,0.14211608634072873,0.21300722845569223,0.0417367808398657,0.0,0.0009519431976447693,0.0011692845016705324,0.16951354110233532,0.12797143,0.07906976744186046
instrumentalness,0.15601238988774987,0.17559597008718414,0.23068041085492122,0.14111821936052873,0.06731006761238412,0.06914479505813158,0.0,0.004542487392745152,0.0011928849543245059,0.25986319912275324,0.20331888,0.08592411260709915
liveness,0.026710663840166703,0.03260300016264667,0.026313865253598,0.023032250429116906,0.0,0.005723029816220292,0.0,0.0011988008694694481,0.0,0.02845343034710672,0.024382582,0.0580171358629131
valence,0.0862000498668728,0.08758207286227852,0.05885864195410825,0.08292738296644073,0.20378814460326553,0.05212001861127187,0.0,0.007146886500663717,0.0004104131130449682,0.03198705873333717,0.07029975,0.09204406364749082
tempo,0.03475081227088571,0.040996408525513534,0.047277152604358406,0.04813179514862537,0.0,0.03198185509712568,0.0007258632826599703,0.714417834487955,0.021143004073376388,0.04266138530938798,0.038720075,0.07539779681762546
time_signature,0.007157186414974157,0.02747496478513746,0.008348952173163273,0.005617510930065174,0.0,0.060144698744358835,0.0,0.01916431078117694,-0.000367863515176007,0.003908365863966983,0.038848665,0.01591187270501836
chorus_hit,0.028779361184664527,0.03446655230401129,0.0187857768177625,0.01538792703065379,0.0,0.03924129396952709,0.00021506858517597455,0.16283903746824524,-0.0011045639504722311,0.014510084222981601,0.023454547,0.04871481028151775
sections,0.04928694799381054,0.057707969780434236,0.00806979732194012,0.004093904471346246,0.0038343818578237656,0.10717119222875707,0.0,0.014640048471471608,0.09941954574051522,0.0067234897939635035,0.026299138,0.02252141982864137
duration_ms,0.1314976397649632,0.0822010832047498,0.16490506767723573,0.1845528572350424,0.40257983774559614,1.5647916604849843e-05,0.9985213966692241,0.0023563829355013996,0.5298359161858069,0.16311366316859913,0.1069809,0.10697674418604651
