,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.15130658389919435,0.14782126192442466,0.15079590202208484,0.19361652494362583,0.13253738373355073,0.09354338624117946,0.0,0.007061244254173024,0.0009599964548613402,0.12271446246084203,0.13335548,0.1431784107946027
energy,0.05936867604346104,0.07558806886591389,0.01585631523712787,0.01805860432396529,0.0,0.020676716064812427,0.0,0.004131089353329332,0.0018704311116755448,0.027943176434588227,0.022676442,0.043478260869565216
key,0.011826922372975905,0.02998440092520162,0.00550427916261387,0.008932032808599303,0.0,0.14526108771107046,0.0,0.00500599527161567,0.0003974478749876097,0.008671927564575457,0.017991066,0.025487256371814093
loudness,0.06663241432658308,0.0564074801267525,0.03458819249892488,0.045662902784633176,0.09907489433521614,0.34563683958580327,0.0,0.20905801931381357,0.327721192248555,0.02950293336800435,0.0674231,0.07721139430284858
mode,0.0026049765138048218,0.015482517658305278,0.0005909060849580501,0.002574599999442772,0.0,0.013731830840553006,0.0,0.002931968329313916,0.0,0.0,0.0152302245,0.0029985007496251873
speechiness,0.05358287873117502,0.041713995373291415,0.06200148654532533,0.055571669760003585,0.03625813196611805,0.005440065218351166,0.0,0.0002896128906138476,0.0,0.06182794553564726,0.05469411,0.11169415292353824
acousticness,0.14676693346958009,0.1462367407361281,0.13777250656447582,0.2033695839604953,0.13370793277947818,0.07345141255787362,0.0,0.013818533660131449,0.004715859872944484,0.14399367702700022,0.1330041,0.1424287856071964
instrumentalness,0.18377806083863021,0.17280456526656596,0.29547744758113503,0.2016078277998148,0.2532942751626463,0.11078487473619592,0.0,0.01402030290234054,0.002119005019390286,0.2846867392360261,0.26549006,0.11694152923538231
liveness,0.028577321178040065,0.0361531254097535,0.016813643098734996,0.013060477486678327,0.01595055225286839,0.019243736231842987,0.0,0.0024615372940912953,0.0,0.022281158949256072,0.02697103,0.05322338830584707
valence,0.04312387207585183,0.05662028649007682,0.025225905640197006,0.04974636413349824,0.014242195191474223,0.046324498438699374,0.0,0.003101873580257785,0.0008608165027952376,0.03655012101669954,0.030655088,0.08395802098950525
tempo,0.024471046776575234,0.03505235976626902,0.011821676623526515,0.012706391081365235,0.0,0.0021527525390167813,0.0,0.4840683268033689,0.006457841310068063,0.03136724755680891,0.015212837,0.047976011994003
time_signature,0.00404651506643635,0.012365574006946062,0.00019114704411140267,0.0,0.0,0.11012612459474909,0.0,0.007193632160132691,-0.00013244915321799618,0.0008065874922320284,0.0,0.0007496251874062968
chorus_hit,0.018460577899665428,0.02794290838108058,0.005052226743771218,0.010172903769638062,0.0,0.005916865914159708,0.0,0.21815740938547445,0.010215735071131405,0.017667996797255253,0.0094828755,0.014992503748125937
sections,0.03519406750022262,0.051608546731336344,0.003752335199755279,0.001540537095935537,0.0,0.0077019202294957645,0.0,0.012372432869178853,0.07030188498576737,0.004127949020395491,0.00415377,0.009745127436281859
duration_ms,0.17025915330780406,0.09421816833795454,0.23455602995325792,0.18337958005230465,0.314934634578648,7.889096196946666e-06,1.0,0.01632802193216461,0.5745122387010417,0.20785807754066904,0.20365986,0.12593703148425786
