,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.08563140335203952,0.0814963445407863,0.096842175419866,0.08992537467513109,0.04664459276592572,0.056883061314155346,0.009241884987887654,0.08411238770612248,0.07791483,0.09976399914181507,0.08839537422291995
energy,0.08148316131490499,0.08011112437613678,0.061492209883132996,0.1120446282905135,0.009358523481796426,0.04186966688603768,0.011194087184850468,0.06408564052718765,0.054848008,0.07723664449688908,0.07309391537988179
key,0.01434334465012285,0.047825776577438826,0.007296675923009987,0.02462764693190432,0.0,0.03436264599885983,0.010501284091483092,0.008708151254895116,0.023328517,0.02853464921690624,0.025519626886921835
loudness,0.06611535437575393,0.06609926118758475,0.037840451794436555,0.06275458862993925,0.05374536754807941,0.3653734765332735,0.15700610834926704,0.02744811490296481,0.04094148,0.07552027461918043,0.05589371847899751
mode,0.007623609795469052,0.015297515526429288,0.006537221358581446,0.02020082553996506,0.009051685274900013,0.057457824184781,0.009462640976788558,0.005245428098482007,0.054303695,0.009869126796824716,0.016570618569711905
speechiness,0.09585999068163974,0.07280561612293987,0.11999249673509683,0.09773611977246212,0.08154917649891412,0.008979652927859941,0.0011658465999002123,0.1180106984390255,0.07277661,0.10684402488736322,0.10066497884029092
acousticness,0.14814394716157342,0.10929545397872818,0.14620759355475585,0.1177028857497273,0.14818470643672405,0.06939545372292812,0.013069920840125947,0.16629411983179498,0.10686832,0.09225488092683973,0.11380095340073698
instrumentalness,0.1901431796280549,0.14531429670828439,0.26329947785429225,0.1347320030403408,0.15040956452983162,0.10542358948149747,0.01742841761075068,0.28039323876312106,0.23730081,0.08646213258957305,0.1703305571088604
liveness,0.030821779285152777,0.05311370863894189,0.022689411220344458,0.03259287520471893,0.0,0.007243805835879224,0.0003258643129663162,0.028502847635907207,0.024100788,0.06565114782235572,0.03468884116102369
valence,0.05161204615486196,0.07011337683877227,0.02958001333261118,0.05307922353949812,0.034239594251953144,0.06948987811504316,0.013369717464824455,0.027154513133622625,0.034321368,0.06393477794464707,0.0507612112323879
tempo,0.03326197528068301,0.05838769963487895,0.04118591404734899,0.05014490878010809,0.0,0.02317971470429455,0.58061619422018,0.031502663628694125,0.030456413,0.07745119073160266,0.05637781892448402
time_signature,0.015118397345714015,0.021312387858716936,0.01038007459986004,0.013988921926610026,0.023564325670583256,0.13172303503541638,0.0245400388748431,0.0033361338515966094,0.08032894,0.012443681613387684,0.020238580902124315
chorus_hit,0.02849978164734408,0.052127244500918976,0.021463780837493382,0.04524779402691693,0.0,0.013230327609079254,0.09078935914497668,0.01652693593560378,0.025281673,0.06114567689337052,0.03070113970176095
sections,0.03781655584396147,0.057952289768093704,0.019303661109305932,0.0360517108085286,0.046846385258782354,0.0153870872939034,0.0025559436361001007,0.014663465213370423,0.048623532,0.03561467496245441,0.04120057215696173
duration_ms,0.11352547348272435,0.06874790374134869,0.11588884232986432,0.10917049308363579,0.39640607828250984,7.803569911612882e-07,0.05873269170505574,0.1240156610776118,0.088605076,0.10727311735679039,0.12176209303293611
