,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.04978138240397953,0.057632478737169396,0.04243129985802344,0.04872275349781251,0.0,0.030481155518571335,0.0,0.004142162065340756,0.0,0.0837701925520912,0.042024296,0.07728181212524983
energy,0.07782781697772256,0.07613102064621431,0.04861252709021718,0.11257817313446747,0.0,0.032054837757808985,0.0,0.0051549700873770735,0.0003113444184553191,0.05265029364893009,0.04578909,0.07839218298911836
key,0.01511268492723005,0.0388938262696845,0.005304110184876044,0.019753727311915843,0.0,0.09171777939380116,0.0,0.0315267613881226,0.003407470316614186,0.008511571093590345,0.022287045,0.0313124583610926
loudness,0.07972858131962458,0.06810025801068681,0.061490225216810426,0.07276731753936864,0.043226128861976534,0.3506793069597039,0.0005376714629399364,0.017488296522237934,0.34427125763720146,0.03205614924892895,0.05427801,0.08016877637130802
mode,0.03559745045310971,0.04570865044709106,0.038166665266263874,0.049056981554202655,0.03441093041492784,0.07808301972882896,0.0,0.006985457329750817,0.00031130652463873265,0.024999208970751627,0.1127071,0.019986675549633577
speechiness,0.0804679245255943,0.06521557408687255,0.09864201949795424,0.10769050046405111,0.03184328044833383,0.009704588359422919,0.0,0.00017757792676352356,0.0,0.08380231835483345,0.06263852,0.12636020430823894
acousticness,0.1377841903416662,0.10562984986969037,0.1530134750034994,0.11595847720983968,0.21300722845569223,0.0417367808398657,0.0,0.0007200550713033638,0.0011692845016705324,0.16894757796223198,0.12797143,0.08549855651787697
instrumentalness,0.16205415688570873,0.1545144135584705,0.24098175505117175,0.11745298088556307,0.06731006761238412,0.06914479505813158,0.0,0.004069327994361591,0.0011928849543245059,0.2588226520930111,0.20331888,0.07572729291583388
liveness,0.028399076667476864,0.03957597406527662,0.01588966643644289,0.027219248767562237,0.0,0.005723029816220292,0.0,0.0013183799228024338,0.0,0.029444298638901127,0.024382582,0.06107039751276926
valence,0.07796015586370322,0.0953904677589772,0.0586345525466831,0.0785512157353976,0.20378814460326553,0.05212001861127187,0.0,0.006880975895673088,0.0004104131130449682,0.029973679030555735,0.07029975,0.08838552076393516
tempo,0.03606264462689,0.04675074972490589,0.038337856401845324,0.05316336776776699,0.0,0.03198185509712568,0.0007258632826599703,0.7052033508558132,0.021143004073376388,0.04043379612659826,0.038720075,0.07994670219853431
time_signature,0.008188851193145736,0.025006341493082552,0.008042472828827014,0.007072327370170888,0.0,0.060144698744358835,0.0,0.019211503194672977,-0.000367863515176007,0.0039155359385006005,0.038848665,0.018210082167443926
chorus_hit,0.029784143506212883,0.040841698679521254,0.011795801072945472,0.027389814171019003,0.0,0.03924129396952709,0.00021506858517597455,0.1837085999507078,-0.0011045639504722311,0.013446057099820054,0.023454547,0.04930046635576282
sections,0.04632415742637087,0.05580516924995572,0.005096090746929069,0.010800195458693863,0.0038343818578237656,0.10717119222875707,0.0,0.012611740556676986,0.09941954574051522,0.005936929004289562,0.026299138,0.023317788141239172
duration_ms,0.1349267828815647,0.08480352740240128,0.17356148279751102,0.1518229191321685,0.40257983774559614,1.5647916604849843e-05,0.9985213966692241,0.0008008412383957846,0.5298359161858069,0.16328974023696602,0.1069809,0.10504108372196314
