,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.1404545637608876,0.15045811995811667,0.18905525137036888,0.1691848958907192,0.13253738373355073,0.09354338624117946,0.0,0.006872861624488738,0.0009599964548613402,0.12349041097923855,0.13493828,0.11994149195514384
energy,0.06440649892900921,0.07530491077149219,0.005630485674885389,0.034665446395473865,0.0,0.020676716064812427,0.0,0.003948620409563686,0.0018704311116755448,0.02799777880413273,0.020060014,0.05850804485616772
key,0.019992342113025526,0.02464723487770397,0.003331309838673966,0.015611417653379181,0.0,0.14526108771107046,0.0,0.004040394968351526,0.0003974478749876097,0.009085743871622433,0.021283574,0.03364212579229644
loudness,0.07048932726244289,0.06027044599834694,0.03408481631546284,0.05685859440738347,0.09907489433521614,0.34563683958580327,0.0,0.21151925279842665,0.327721192248555,0.030947733463660577,0.064881556,0.07996099463676255
mode,0.004384171735327357,0.014904308322694768,0.00045560180697603214,0.007594873957676144,0.0,0.013731830840553006,0.0,0.002960402416533416,0.0,0.0027532766391379125,0.016215466,0.009751340809361287
speechiness,0.05933667028925174,0.03774458880563489,0.0580402173846707,0.054121984569041215,0.03625813196611805,0.005440065218351166,0.0,0.00021274237214335146,0.0,0.061131305659887315,0.052488983,0.10628961482203803
acousticness,0.1259642327948625,0.16174424372685978,0.1626242427886551,0.1671782415586934,0.13370793277947818,0.07345141255787362,0.0,0.013744838448082055,0.004715859872944484,0.14230729411213477,0.11387886,0.11799122379327158
instrumentalness,0.15497264353545773,0.18723056754253659,0.27738124328957,0.17198411030583963,0.2532942751626463,0.11078487473619592,0.0,0.014216063116437729,0.002119005019390286,0.2822914490976346,0.25565514,0.10580204778156997
liveness,0.03898831338901734,0.03188589437710589,0.013137406708538454,0.03104449605451577,0.01595055225286839,0.019243736231842987,0.0,0.002518828979819053,0.0,0.023740385827677166,0.02316243,0.06484641638225255
valence,0.051931277913730985,0.05275831141856572,0.018651567805593294,0.06685156172150661,0.014242195191474223,0.046324498438699374,0.0,0.0029152615185451636,0.0008608165027952376,0.036167390996376475,0.03090659,0.07654802535348611
tempo,0.03851921673865391,0.02965680771500784,0.005204372169372498,0.03507804503017847,0.0,0.0021527525390167813,0.0,0.4721537804880958,0.006457841310068063,0.028425827136991773,0.016936852,0.07118478790833739
time_signature,0.004425054581164994,0.01222372310404133,0.0,0.0021976067487773665,0.0,0.11012612459474909,0.0,0.007806542356596582,-0.00013244915321799618,0.0014990050088153311,0.022375457,0.0034129692832764505
chorus_hit,0.030790556370024928,0.02281443612620726,0.0013221885830228292,0.02089186495254265,0.0,0.005916865914159708,0.0,0.2301849723779293,0.010215735071131405,0.014426653529528825,0.015939161,0.04339346660165773
sections,0.036907033675626574,0.04908685579289476,0.0017281997299204738,0.009742423245235804,0.0,0.0077019202294957645,0.0,0.013499018954606258,0.07030188498576737,0.006096031306533417,0.012680296,0.018527547537786446
duration_ms,0.1584380969115168,0.08926955146279153,0.22935309653428962,0.1569944375090373,0.314934634578648,7.889096196946666e-06,1.0,0.013406419170380577,0.5745122387010417,0.20963971356662822,0.19859728,0.0901999024865919
