,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.12834209714991657,0.13264561928789834,0.11949336786165171,0.16386145417484008,0.14058625353834092,0.04685912865718007,0.0,0.009806784028438898,0.1329487392305314,0.08635923,0.11975116640746501,0.14256218325746262
energy,0.07597724527607722,0.08209980670318044,0.04769091824858998,0.05856558784854284,0.08171801888041022,0.01167917266466013,0.0,0.005805124121227783,0.03160732943063385,0.061367787,0.07698289269051321,0.0985879227901816
key,0.018150794554246764,0.03467525548506108,0.006704794289344006,0.005232328300923944,0.007105398613266937,0.062087302445296616,0.0,0.030672964573088456,0.007918045128927263,0.015412005,0.025660964230171075,0.006924912233399755
loudness,0.10101958349021752,0.07991158035901018,0.07248017273317957,0.13702523180054432,0.18996004515878503,0.5393263646134617,0.0,0.08636999389194429,0.04867705363840198,0.06916989,0.1088646967340591,0.11283670775738594
mode,0.007267477452501261,0.015426519520677645,0.008515501203446024,0.017561133584100018,0.021073813547351522,0.028798330133561905,0.0,0.007140778875643442,0.004946532377841649,0.05362877,0.02021772939346812,0.029132031368733977
speechiness,0.05022822738412442,0.048280844734210494,0.050932978092036056,0.027059489559733838,0.029986940060765695,0.003664057319133401,0.0,0.0009139509994126218,0.042889548517304886,0.035146095,0.09175738724727839,0.05444667860806072
acousticness,0.1026930915772937,0.09334926247601513,0.05927538282386866,0.08938050384496897,0.08072070977804631,0.02000847744880944,0.0,0.00370544260991713,0.08078947116033852,0.06364876,0.07776049766718507,0.07482977798621299
instrumentalness,0.23199183254280265,0.21021817346441765,0.4279110504585858,0.2837025198330808,0.1917018236043284,0.05836477114588024,0.0,0.009781184140537086,0.47664365916991824,0.40716535,0.1057542768273717,0.25286654027489014
liveness,0.03334694237043634,0.039828634223201174,0.01507705612027245,0.006735802237356772,0.012483839667126503,0.0037872502122209763,0.0,0.00036124080488522263,0.016401345179354425,0.016184447,0.038102643856920686,0.006433855914337598
valence,0.05741974606953655,0.06360928685646326,0.042329710635885885,0.04271190450122426,0.021187821048059753,0.036124572061040076,0.0,0.008365869293905693,0.03472985761713423,0.032439426,0.08786936236391912,0.054806882817452704
tempo,0.03405714254273428,0.04030761530351391,0.029508282381572055,0.024791220410581415,0.026602086817612138,0.04109029530704237,0.0,0.670906240021848,0.014287148665578713,0.017715205,0.08553654743390357,0.019652323920328715
time_signature,0.005630182763014091,0.011465335016551736,0.0014187941816053496,0.0018726960420476244,0.0,0.07796782005603631,0.0,0.028152449580588716,0.0015448820000588137,0.01556079,0.01088646967340591,0.0044909264663349135
chorus_hit,0.030613719600195582,0.036410754429708876,0.017074440357046215,0.008202918457100833,0.00529472559373095,0.0010487865013209352,0.0,0.11265236799219751,0.012836706859085415,0.01614424,0.042768273716951785,0.008132721841089046
sections,0.02895098041594826,0.04250314434211234,0.0060736608720057626,0.007027045653374787,0.004395532666493609,0.06918199860175926,0.0,0.018636348211197317,0.008712604850560546,0.013561803,0.017107309486780714,0.006640273614151639
duration_ms,0.0943109368109548,0.06926816779797779,0.09551388974091034,0.1262701637515796,0.18718299102568212,1.1672832596431025e-05,1.0,0.0067292608551677915,0.08506707617433,0.096496284,0.09097978227060653,0.1276562611499776
