,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.08419171646251326,0.08128870448931443,0.100645338982468,0.09502094049838124,0.04664459276592572,0.05688252470972381,0.0,0.009306587757699724,0.08547935691111853,0.093489505,0.10515793682526989,0.08839537422291995
energy,0.08189490221966997,0.07823870278391834,0.05531429078810693,0.09895820331414514,0.009358523481796426,0.041869463328915606,0.0,0.011197257614138128,0.061276485844822495,0.06363448,0.07357057177129149,0.07309391537988179
key,0.02605730040570085,0.048396787213851884,0.005172831772386444,0.02214068189117743,0.0,0.0343618002805932,0.0,0.008577757173658739,0.007876584258510325,0.016126182,0.020791683326669332,0.025519626886921835
loudness,0.08050538421959962,0.06633617991393698,0.028129617076945366,0.054273031142984623,0.05374536754807941,0.3653777756856565,0.0,0.15679186041473378,0.02684030162165512,0.039506525,0.07516993202718912,0.05589371847899751
mode,0.00860345328656596,0.014994733629214179,0.0063472153238233265,0.023733626618923427,0.009051685274900013,0.057457242102278275,0.0,0.009662965423975607,0.005354086629466603,0.038126126,0.011595361855257898,0.016570618569711905
speechiness,0.09468632521012156,0.07287977819601144,0.12414782735900029,0.10635823231856903,0.08154917649891412,0.008979580829201073,0.0,0.0011716092194618206,0.1174086974872049,0.07547878,0.13074770091963214,0.10066497884029092
acousticness,0.11633462384427545,0.11154564537006191,0.16022928963379102,0.13657083635547257,0.14818470643672405,0.06939508806465405,0.0,0.013186501489722915,0.16871664849462947,0.104486085,0.09956017592962815,0.11380095340073698
instrumentalness,0.14003763148196682,0.14525899097257594,0.29026209158979177,0.15768853498919422,0.15040956452983162,0.10542281765115702,0.0,0.017558316747309916,0.2812461280099914,0.28987455,0.09636145541783286,0.1703305571088604
liveness,0.0493564520481989,0.053114767952496714,0.015087049070781738,0.020961307886794508,0.0,0.007243736787477757,0.0,0.0002414166053695117,0.02522383039802706,0.013446167,0.05317872850859656,0.03468884116102369
valence,0.06282336719128473,0.06977268656599951,0.0196561722716942,0.04783515578478765,0.034239594251953144,0.06948931848201903,0.0,0.013370420608490525,0.030499253258749897,0.026742743,0.05357856857257097,0.0507612112323879
tempo,0.05332726866520066,0.058363879412452496,0.027173475354986786,0.04406042126741191,0.0,0.02317992869948357,0.0,0.5746491567888411,0.032419737692925284,0.02427032,0.060775689724110356,0.05637781892448402
time_signature,0.011433238482143542,0.021509143264142744,0.011969541557283452,0.017067161072339607,0.023564325670583256,0.13172145930358048,0.0,0.024453025843168677,0.0033408383405484424,0.06711083,0.012794882047181128,0.020238580902124315
chorus_hit,0.04983055888356134,0.05260537264431582,0.015742102529575825,0.03153714852350733,0.0,0.013230876578790539,0.0,0.08860223295831342,0.015003676089174868,0.018300386,0.04798080767692923,0.03070113970176095
sections,0.040674955190448434,0.05687039479286665,0.019400005296456344,0.030291418782035957,0.046846385258782354,0.015387607066599354,0.0,0.0031244884749286714,0.017666623712853435,0.039202414,0.036785285885645745,0.04120057215696173
duration_ms,0.10024282240874877,0.06882423279884087,0.12072315139290836,0.11350329955427546,0.39640607828250984,7.804298697208947e-07,1.0,0.06810640288018745,0.12164775125032218,0.0902049,0.12195121951219512,0.12176209303293611
