,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.06206497754047377,0.0640357861125386,0.05538864363819762,0.05098666085292278,0.0,0.030481616653747955,0.004159382544944168,0.08380078558712956,0.042024296,0.07657859381997313,0.04960389851119902
energy,0.07795342275509753,0.0765908229193648,0.05344413834998568,0.09661745550637992,0.0,0.032055081326760035,0.005247950689816386,0.0499262517150086,0.04578909,0.08060904612628751,0.06732699501931673
key,0.026509076090961193,0.04748116084063738,0.008956033427519756,0.02123947292854421,0.0,0.09171884885257177,0.026907414964938054,0.007636730102502962,0.022287045,0.02910882221227049,0.018371485720144673
loudness,0.08745665033953219,0.07225601457390211,0.04597113480831355,0.0648826726095082,0.043226128861976534,0.3506740541859806,0.020213590236382303,0.03556362306055944,0.05427801,0.07433945364979848,0.06819657190583968
mode,0.02434421638405233,0.03104777417297328,0.030448662680703495,0.04930793110934559,0.03441093041492784,0.078084288700128,0.007521786105818592,0.023497759828017946,0.1127071,0.017913121361397222,0.03415574504653325
speechiness,0.08324420821357341,0.07099612041589184,0.10311733182889456,0.1104141099680004,0.03184328044833383,0.009704704466058192,0.00034421760103280324,0.08327933237017947,0.06263852,0.1303179579041648,0.09663339179889721
acousticness,0.11811341718847021,0.09825185621928018,0.13974624118536097,0.11553875857012076,0.21300722845569223,0.04173713381009322,0.0009400506667156083,0.1709455057834342,0.12797143,0.08463949843260188,0.11714586725013956
instrumentalness,0.11659166654495413,0.12019312297141277,0.23050533046524024,0.11860221424370887,0.06731006761238412,0.06914566732733798,0.004105618742939314,0.2580721644526406,0.20331888,0.07568293775190327,0.11918366098830344
liveness,0.04888168596736324,0.05099340409882929,0.026729836282811583,0.028600813208100193,0.0,0.005723120163516103,0.0012534769085545555,0.029509444257115866,0.024382582,0.06851768920734438,0.03124853395879022
valence,0.08289637097194584,0.09032546224966032,0.05878633901206886,0.08289745076974822,0.20378814460326553,0.05212065438343534,0.00693460826324995,0.029770658556967002,0.07029975,0.0877742946708464,0.0885840584775511
tempo,0.055983934168237805,0.05710256809667721,0.047144971295040694,0.053950684977234674,0.0,0.03198239363229427,0.7075902504687763,0.041121896229640305,0.038720075,0.08284818629646216,0.05640967177299767
time_signature,0.009573221942740955,0.023190643466006907,0.008348196211344404,0.007910236654995505,0.0,0.06014599241649207,0.018945721123043085,0.002607434176751236,0.038848665,0.019704433497536946,0.020382553533407892
chorus_hit,0.04847739123037771,0.05236280383273732,0.01882547946832674,0.024581511708948355,0.0,0.0392376896904436,0.16978158900516624,0.012286952235824657,0.023454547,0.04254366323331841,0.023271815202638723
sections,0.04595130510282267,0.06124008769687651,0.0077858304397437055,0.015961772822258264,0.0038343818578237656,0.1071731064051389,0.012994125243978034,0.00890437932829318,0.026299138,0.021495745633676667,0.034281572769036685
duration_ms,0.11195845555939708,0.08393237233321155,0.1648018309064482,0.1585082540701842,0.40257983774559614,1.564798600192801e-05,0.01306021743464464,0.16307708231593498,0.1069809,0.10792655620241827,0.17520417804520405
