,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.06359108862237034,0.06282115037983396,0.056295801137382806,0.05098666085292278,0.0,0.030481616653747955,0.0,0.004143077872858591,0.08338504046720888,0.042024296,0.07728181212524983,0.04960389851119902
energy,0.08542191851005064,0.07764526344822276,0.055630490899222125,0.09661745550637992,0.0,0.032055081326760035,0.0,0.0050644414329882636,0.0495414063462918,0.04578909,0.07839218298911836,0.06732699501931673
key,0.029262073111940602,0.04813397977220583,0.012279453968401001,0.02123947292854421,0.0,0.09171884885257177,0.0,0.024911303154256166,0.008876920034524767,0.022287045,0.0313124583610926,0.018371485720144673
loudness,0.0828733341429513,0.07400556849743659,0.057117974199378134,0.0648826726095082,0.043226128861976534,0.3506740541859806,0.0005376714629399364,0.014830860749547163,0.031291182250236804,0.05427801,0.08016877637130802,0.06819657190583968
mode,0.022657503470911364,0.03122260754352816,0.027154609881276444,0.04930793110934559,0.03441093041492784,0.078084288700128,0.0,0.007121838151485971,0.02428619140546445,0.1127071,0.019986675549633577,0.03415574504653325
speechiness,0.08337031676084367,0.07107676858935796,0.09775585782453039,0.1104141099680004,0.03184328044833383,0.009704704466058192,0.0,0.0002239068165489318,0.08251835110204127,0.06263852,0.12636020430823894,0.09663339179889721
acousticness,0.10803615103767561,0.09863556990355199,0.12855781628294782,0.11553875857012076,0.21300722845569223,0.04173713381009322,0.0,0.0007366154202874108,0.1695426712522427,0.12797143,0.08549855651787697,0.11714586725013956
instrumentalness,0.11643341808614042,0.12322452875324176,0.21045383431351855,0.11860221424370887,0.06731006761238412,0.06914566732733798,0.0,0.003829510648407561,0.25901648640907166,0.20331888,0.07572729291583388,0.11918366098830344
liveness,0.050503715161734485,0.05133776993444662,0.033746941798399537,0.028600813208100193,0.0,0.005723120163516103,0.0,0.0012443732552746855,0.025849684231556116,0.024382582,0.06107039751276926,0.03124853395879022
valence,0.0794929000544536,0.08544651372203318,0.06478037207482373,0.08289745076974822,0.20378814460326553,0.05212065438343534,0.0,0.006834408032849479,0.030822748993525568,0.07029975,0.08838552076393516,0.0885840584775511
tempo,0.05912943055768755,0.05647453962572362,0.05609713397352939,0.053950684977234674,0.0,0.03198239363229427,0.0007258632826599703,0.7167120533302703,0.042780933598347365,0.038720075,0.07994670219853431,0.05640967177299767
time_signature,0.010147950105359899,0.022614347893404666,0.009504324371589554,0.007910236654995505,0.0,0.06014599241649207,0.0,0.01937676874839663,0.004743771246772104,0.038848665,0.018210082167443926,0.020382553533407892
chorus_hit,0.050704648088044084,0.05242307795678642,0.027161370554477926,0.024581511708948355,0.0,0.0392376896904436,0.00021506858517597455,0.17856692679650787,0.015576598955043859,0.023454547,0.04930046635576282,0.023271815202638723
sections,0.045202613380476056,0.060429752202941785,0.008843676975140354,0.015961772822258264,0.0038343818578237656,0.1071731064051389,0.0,0.01319354016172047,0.00739072915815201,0.026299138,0.023317788141239172,0.034281572769036685
duration_ms,0.11317293890936041,0.08450856177728482,0.15462034174538208,0.1585082540701842,0.40257983774559614,1.564798600192801e-05,0.9985213966692241,0.0032103754286004287,0.164377284549521,0.1069809,0.10504108372196314,0.17520417804520405
