,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.13584717516510228,0.14207763097304232,0.14640752703489485,0.19361652494362583,0.13253738373355073,0.09354338624117946,0.0,0.006968147615084962,0.12252092184549701,0.10181475,0.13168539325842696,0.16352495623393815
energy,0.06583202162782047,0.07142346103186477,0.020963119155225616,0.01805860432396529,0.0,0.020676716064812427,0.0,0.003796296868653146,0.02731257206799952,0.028818168,0.06382022471910112,0.026427530522489254
key,0.022531722790213773,0.030260003774723362,0.007341998828099801,0.008932032808599303,0.0,0.14526108771107046,0.0,0.005318740194928993,0.010797939331919746,0.025160784,0.0350561797752809,0.01574005532192059
loudness,0.06794691508525488,0.05941405938111145,0.03822253723309031,0.045662902784633176,0.09907489433521614,0.34563683958580327,0.0,0.2110602339436012,0.03134338860249011,0.054062665,0.07370786516853933,0.049068061867394264
mode,0.005485696464545871,0.014923200740314361,0.0011825384178153554,0.002574599999442772,0.0,0.013731830840553006,0.0,0.0023744591784368354,0.0012604126804461832,0.022365587,0.006741573033707865,0.011036010641601684
speechiness,0.05950302428537873,0.04144461878228197,0.06436790885710743,0.055571669760003585,0.03625813196611805,0.005440065218351166,0.0,0.00014933962790501695,0.06112808687671288,0.060416266,0.09752808988764045,0.061914325096567815
acousticness,0.13099745655535708,0.14723355030113164,0.133505455925897,0.2033695839604953,0.13370793277947818,0.07345141255787362,0.0,0.013633634721035195,0.14351001194873778,0.11416566,0.1150561797752809,0.15648078929875103
instrumentalness,0.1540159632969068,0.18358141743213377,0.2794773481881012,0.2016078277998148,0.2532942751626463,0.11078487473619592,0.0,0.014286357379730549,0.28839018494633123,0.241796,0.09617977528089888,0.2110458596861252
liveness,0.04247255050223331,0.03767940369564815,0.020618188473389976,0.013060477486678327,0.01595055225286839,0.019243736231842987,0.0,0.001953276547295906,0.02402816994009298,0.02820902,0.07730337078651685,0.025954233789093215
valence,0.05537873615198695,0.05394594998006325,0.03032310102460658,0.04974636413349824,0.014242195191474223,0.046324498438699374,0.0,0.003239236582374858,0.03499650244768184,0.037212875,0.08044943820224719,0.05864566535665982
tempo,0.04078096983738196,0.03494250529588821,0.018940864200618825,0.012706391081365235,0.0,0.0021527525390167813,0.0,0.46093350398990923,0.025827285450675638,0.023518445,0.06921348314606741,0.024058974126853722
time_signature,0.004521291013992668,0.012339093722578314,0.00048373398727330534,0.0,0.0,0.11012612459474909,0.0,0.008342547673782038,0.0,0.029426835,0.003146067415730337,0.004673970158206779
chorus_hit,0.03437180521393641,0.02959697665177233,0.009193930487025721,0.010172903769638062,0.0,0.005916865914159708,0.0,0.24760109970987443,0.017429186384942025,0.021556769,0.04044943820224719,0.011771592387987096
sections,0.039580895250292895,0.04783367926632125,0.004801030753845176,0.001540537095935537,0.0,0.0077019202294957645,0.0,0.01419018519953123,0.003316524913042518,0.018267436,0.01752808988764045,0.008248306223369422
duration_ms,0.14073377675959586,0.09330444897112494,0.22417071743300881,0.18337958005230465,0.314934634578648,7.889096196946666e-06,1.0,0.006152940767856516,0.20813881256343067,0.1932088,0.09213483146067415,0.1714096692890419
