,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10400173559411723,0.10207355969725346,0.1131953966308668,0.10143292174007028,0.07087509600570058,0.08810441245274958,0.0,0.007338630626497063,0.0004912188519090444,0.11379838221743939,0.08767312,0.09057527539779682,0.10605710099369975
energy,0.0853267643017175,0.08278868812732118,0.05627194742939962,0.05852405887907934,0.03980675689348095,0.016335435770842836,0.0,0.005573347394136128,7.914922115186417e-05,0.06032639713785739,0.048237603,0.07915136678906569,0.06964570688912193
key,0.0250875030525808,0.03834542340614667,0.005069401332618198,0.010358911371438127,0.0,0.07385420402940304,0.0,0.02345766567199316,0.0012097321793747785,0.004499376024584828,0.01565816,0.03243574051407589,0.008853742617326481
loudness,0.07729793972366308,0.06442538449742535,0.033052774746765684,0.06004493162235781,0.07709801368235689,0.21514088874697385,0.0,0.1319121168486835,0.4347555606919009,0.020696384384122756,0.033460546,0.08098735210118319,0.04766173238492822
mode,0.010190952640852274,0.015587969124318833,0.011695057726674563,0.025848213127474186,0.0,0.06965122454776579,0.0,0.006462762808644371,0.0004248828174242154,0.011336058881300763,0.077226385,0.01040391676866585,0.01767411754001258
speechiness,0.07132851848919414,0.05466381892867948,0.07238646971059863,0.08127866753964483,0.03563678698722186,0.005033237173797718,0.0,0.0,0.0,0.06270468111569409,0.0540012,0.10832313341493269,0.07938051771045207
acousticness,0.1176335677935787,0.11508237465345571,0.13491892353742377,0.18864927717582064,0.2565875341283075,0.04472061341691025,0.0,0.006708535628505736,0.0003924112338874522,0.14134711247119525,0.10026111,0.09445124439004488,0.16012954593942197
instrumentalness,0.1852997137883713,0.205426553358067,0.40284743184453226,0.27231983130835263,0.2090090384031295,0.13266746238299446,0.0,0.013266673893673888,0.002908555938548457,0.4429442659616519,0.37690604,0.08629130966952264,0.24157834532375064
liveness,0.045176280638409186,0.04217184762784536,0.012345295215598207,0.009796631690440493,0.0,0.011538633153388577,0.0,0.0,2.4694518317297954e-05,0.008778241748678788,0.017134044,0.05813953488372093,0.012572304287641401
valence,0.07003569466692447,0.07265900166763,0.044269009046645325,0.04672617473922823,0.06291579682984441,0.08308408899296955,0.0,0.008272930844134803,0.000429924008500665,0.03527317021155792,0.038527917,0.10383516931864545,0.06477369485041279
tempo,0.047857183114886556,0.043106293527276816,0.021814721163832533,0.027179773042880186,0.0,0.0100832278160897,0.0,0.678102572901906,0.009759440531907653,0.01915178683647554,0.019238498,0.06793145654834762,0.02913349889619962
time_signature,0.007695427132876643,0.01696431715522078,0.003506937733102746,0.008266692623834667,0.0,0.14997571466762874,0.0,0.02178571415919436,-0.00042310401841905414,0.0044468520342112365,0.03367126,0.010607915136678907,0.009682150884033396
chorus_hit,0.044278095288186936,0.04017517821439643,0.010250813256999962,0.010894052545915795,0.0,0.0012700775519989313,0.0,0.08759668085202761,0.04678595931435206,0.008969641325595643,0.014550607,0.04814361485108119,0.010190686689503918
sections,0.036470302063971415,0.04801982460074067,0.009099362145345508,0.015654518421006087,0.011663394283277433,0.0985357454632713,0.0,0.008881453151193767,0.08153660962947272,0.006949777344930343,0.031144587,0.032843737250102,0.0394505598181769
duration_ms,0.07232032171066974,0.05850976541422251,0.06927645847959633,0.0830253441724565,0.23640758278668095,5.0338332157449645e-06,1.0,0.0006409152194096878,0.4216249650816719,0.05877787230470415,0.052308965,0.09587923296613628,0.10321629517531831
