,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10171717452258827,0.10201312711225448,0.06531263428417464,0.10193043671026497,0.17844976634948861,0.0648860145602073,0.00785913657524775,0.06272048842632286,0.052307926,0.10234337637494022,0.11076846667325688
energy,0.09221747019780673,0.09828138867653577,0.09045233550725651,0.13611667603050648,0.11342677914819109,0.005341313764869838,0.004565432930458585,0.0904020749265829,0.07841058,0.09277857484457197,0.1503720864427061
key,0.02291759125528954,0.03679653951528138,0.004349263001423907,0.012062191365727441,0.0,0.08992438152315117,0.021343990906278927,0.013707829719766586,0.013270203,0.027259684361549498,0.010280965640951295
loudness,0.0990769020744978,0.07756742256189286,0.05738045917239205,0.15614005008960355,0.07003641753982108,0.3725116591167285,0.08946257892389162,0.05564008554208033,0.056408457,0.08273553323768532,0.09392719634053294
mode,0.005986224182175735,0.014293950197811522,0.0008795858334203002,0.0045433047125816445,0.0,0.02429791875828258,0.004141100358906514,0.0023520909592121214,0.029075999,0.007651841224294596,0.009268488343272242
speechiness,0.04510945990208363,0.04586814815909,0.025187814634355904,0.02818720685191537,0.0,0.006785870721588461,0.0009886694734522904,0.02137451323155616,0.027270947,0.05738880918220947,0.02945692332495267
acousticness,0.09185121794488191,0.07774122048003018,0.0474444238080969,0.08226858393393535,0.1895753886019766,0.007995440928775348,0.0028775307568859364,0.04179998868410656,0.05093518,0.09851745576279292,0.0817352755556738
instrumentalness,0.2653231056618993,0.24494370391216255,0.5788613809857291,0.27315672362992,0.29103114518379203,0.09792160586266768,0.010250453667179887,0.5568602620327929,0.49768943,0.1410808225729316,0.284047949750807
liveness,0.03723842399212261,0.042009178154647796,0.007295115364303007,0.018470797546558115,0.0039055332013415516,0.007465785275905029,0.00014962440402745017,0.02332142298454221,0.017162789,0.05930176948828312,0.01844726007357913
valence,0.0626361733422596,0.06378213968774536,0.05651064949992347,0.07111860866684448,0.048426571267876806,0.034316270856030916,0.0057524964157007,0.03945552735263175,0.047741517,0.10329985652797705,0.07205493736464168
tempo,0.038689285221456315,0.041305456014147736,0.013982165693776218,0.02986127733266823,0.009224505915731212,0.01860792473157909,0.7172399631946448,0.013082533952161584,0.020420238,0.07747489239598278,0.0257907169420002
time_signature,0.006906433775653841,0.012935985547941675,0.0042448598635178875,0.010983358557283017,0.006869805907400779,0.12090046209309832,0.022667182717376243,0.0014645198218890664,0.04517268,0.009086561453849833,0.01627054583727477
chorus_hit,0.03727259323495627,0.03986332131874223,0.008554215697513766,0.018893664011595538,0.0,0.009406002397555867,0.09381813455090764,0.025255796751989582,0.0135253845,0.04878048780487805,0.012944211438840725
sections,0.02474835584841957,0.04105589809398781,0.0028701332895198603,0.0070948480153033315,0.0,0.13962851831371076,0.018776824396841085,0.008222956762805135,0.0076721217,0.020086083213773313,0.013819432866660285
duration_ms,0.06830958884390888,0.06154252056772871,0.036674963364596413,0.049172272545292446,0.08905408688438002,1.0831095849259399e-05,0.0001068807282007732,0.04433990885155996,0.042936467,0.07221425155428025,0.07081554340485008
