,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.08445817011110285,0.08019511308644875,0.10259511414889312,0.09128991465688284,0.04664459276592572,0.05688247026510754,0.0,0.00826985298531821,-5.949746575065613e-05,0.08594895751993076,0.08840524,0.09936368086147822
energy,0.08292902158761001,0.0770496493460128,0.05810136656288738,0.08579455932444267,0.009358523481796426,0.04186944267679785,0.0,0.011011414176178203,-0.0009398578336641998,0.06253080756872535,0.057365008,0.07782672540381791
key,0.02692477287963245,0.039859518882781754,0.004801977630858451,0.014601203627626569,0.0,0.03436171471075272,0.0,0.00310675160039529,-0.004435284754146018,0.009130384007647985,0.017250594,0.03622124326970142
loudness,0.07823720769083489,0.06295584566857122,0.029009938515364195,0.04627357136096022,0.05374536754807941,0.3653782117864091,0.0,0.15018972294969074,0.4005861191279682,0.028792065644470653,0.03894412,0.06705824767498776
mode,0.008450441080652933,0.019616509341099975,0.006675628266748072,0.02451244408854556,0.009051685274900013,0.057457183041897536,0.0,0.00938778684466557,-0.00038058521147452687,0.0033932870743043878,0.057513252,0.011257953989231522
speechiness,0.09380752360629552,0.06751190572777765,0.12365590581707449,0.12045656687544085,0.08154917649891412,0.008979573512498517,0.0,0.0008999287380274083,0.0,0.11634868339466002,0.07039742,0.1111111111111111
acousticness,0.11577542413599516,0.12507915457412677,0.15683790146148296,0.16081766346530094,0.14818470643672405,0.06939505095475282,0.0,0.01202355826137168,0.0004104541496715666,0.16458812219076516,0.118978016,0.09397944199706314
instrumentalness,0.14210563538836957,0.18073643444439286,0.2921730861492391,0.19016541914264964,0.15040956452983162,0.10542273932987556,0.0,0.01644444766163092,0.00278895548346277,0.27909362194667847,0.23292366,0.08321096426823299
liveness,0.049724935698097605,0.04321947210228334,0.017013456896994877,0.012220542841344837,0.0,0.007243729779408462,0.0,0.0,-0.0002349531091209886,0.028651848970474385,0.016461944,0.055800293685756244
valence,0.06146899974149111,0.07042244044300162,0.020508651027470223,0.034446314515676806,0.034239594251953144,0.06948926170066877,0.0,0.012392725495196691,0.0011448282490599674,0.027198157924698863,0.03423208,0.0714635340186001
tempo,0.05378567527555066,0.04974998011935554,0.030513138696578106,0.030927962499422923,0.0,0.023179950647793057,0.0,0.6286416054237066,0.05266472262053363,0.031460411536389864,0.02479123,0.0797846304454234
time_signature,0.011858981947925838,0.026248660330734228,0.013495691158129642,0.021531946279030306,0.023564325670583256,0.13172129945178437,0.0,0.0253365681960584,0.000440170271041682,0.004122522267851086,0.080618076,0.010279001468428781
chorus_hit,0.0485880343093916,0.04152596682432426,0.017679581878949312,0.01941563322081944,0.0,0.013230931962708015,0.0,0.10365819971736184,0.012819428011798459,0.020557498176901494,0.021933354,0.06412139011257954
sections,0.041189105656438414,0.05216598513827882,0.017186350759063617,0.027552966852862553,0.046846385258782354,0.015387659742482858,0.0,0.008067928415884258,0.11362573736342624,0.013114920401507359,0.051413264,0.03671071953010279
duration_ms,0.10069607089061151,0.0636633639708102,0.10975221103026646,0.11999329124899369,0.39640607828250984,7.804370627739075e-07,1.0,0.010569509534514139,0.4215697630971939,0.12506871137499453,0.088772684,0.10181106216348507
