,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.13654761363590787,0.12242763432473912,0.12955343233052466,0.14853557646584048,0.1329371153093661,0.04685912865718007,0.0,0.010422565872839597,0.13435256262940395,0.08320559,0.12075654704170707,0.12916876395496377
energy,0.07614592993310572,0.08308075669693975,0.05057127208327956,0.0674979930619482,0.06163552044560241,0.01167917266466013,0.0,0.005850098014273022,0.03225725689074979,0.051615916,0.07129000969932105,0.07825588629915899
key,0.018577544688573682,0.03409533084131391,0.0011762137807001796,0.016083463131129266,0.0,0.062087302445296616,0.0,0.030845914443568604,0.008314198993312191,0.02145528,0.02424830261881668,0.02436968596785963
loudness,0.09222450844857139,0.08236729096550038,0.0630842583937735,0.13280190064532016,0.26145869482227846,0.5393263646134617,0.0,0.09678809915003084,0.048692773926981854,0.05655308,0.11154219204655674,0.09757399696439718
mode,0.007129789938085349,0.01627628702470562,0.006938539348080509,0.020402004955934826,0.008622775899894238,0.028798330133561905,0.0,0.007786903963098529,0.0033618113242944087,0.06816142,0.014064015518913677,0.021207170764477406
speechiness,0.05062560460450815,0.04917150957705027,0.032832559916719795,0.03800163165645839,0.015657918917092138,0.003664057319133401,0.0,0.000996036843134536,0.041625829379249996,0.039652094,0.09553831231813772,0.06574006855695542
acousticness,0.09479448821726374,0.09661505076988847,0.04757661572771704,0.08745149727332951,0.06807108102662461,0.02000847744880944,0.0,0.004041536406043953,0.0785031181987318,0.05940868,0.08947623666343356,0.08236602593092125
instrumentalness,0.2295568650538958,0.2109759426436507,0.5290289113912732,0.22591761182859932,0.20307051565381404,0.05836477114588024,0.0,0.010601238497335568,0.4789321773153827,0.3935661,0.10984481086323958,0.19277246086741326
liveness,0.033810758417672504,0.04003603633692321,0.004308219626032696,0.018953940982299473,0.0,0.0037872502122209763,0.0,0.00015627418668750725,0.016381002591650522,0.023789711,0.0438894277400582,0.02535064673613174
valence,0.058862998520043945,0.06616547799346378,0.022460761611106068,0.05617181006623396,0.003681471926595372,0.036124572061040076,0.0,0.008757935915653962,0.03326730885542621,0.03757578,0.07274490785645005,0.06596495295786402
tempo,0.03611670221436115,0.03990046655581254,0.006726722079163506,0.03930398305456274,0.0,0.04109029530704237,0.0,0.6316848782303167,0.017511410577088764,0.02451171,0.07129000969932105,0.050215230653971946
time_signature,0.004562671228426573,0.011504035229875458,0.0007286760700786553,0.0034712035978315486,0.0,0.07796782005603631,0.0,0.028528170910306204,8.940062502373275e-05,0.020890245,0.006789524733268671,0.00697862884115383
chorus_hit,0.031743031847144325,0.03580971150673614,0.0031588398620760226,0.02304366798358291,0.0,0.0010487865013209352,0.0,0.09513072796426496,0.009619705527169118,0.023303691,0.05140640155189137,0.02819094711904073
sections,0.030399504817661054,0.04254069421261548,0.0008599855669775186,0.011475056703029219,0.0,0.06918199860175926,0.0,0.01980044728915066,0.008847898445592297,0.021726174,0.018186226964112512,0.01590999252867601
duration_ms,0.09890198843477883,0.0690337753207851,0.1009949922124972,0.11088865859389989,0.24486490599873267,1.1672832596431025e-05,1.0,0.04860917231329547,0.08824354471994263,0.07458454,0.09893307468477207,0.1159355418570148
