,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.1214987277194991,0.134916006322431,0.12326270595530021,0.16386145417484008,0.14058625353834092,0.04685906087483051,0.0,0.011562451825599633,0.0,0.1319988717812862,0.08161017,0.12377777777777778
energy,0.07839579999552203,0.08545262335225208,0.04661691450511536,0.05856558784854284,0.08171801888041022,0.01167918610807184,0.0,0.006441489919448449,0.0,0.031346281490907534,0.055236384,0.0651111111111111
key,0.021348672405473577,0.0271322699847501,0.0048751699789795384,0.005232328300923944,0.007105398613266937,0.0620872215421357,0.0,0.035468338783059994,0.0,0.00708627826607335,0.017121071,0.027333333333333334
loudness,0.09941164972293133,0.07888614267566137,0.06753302064846103,0.13702523180054432,0.18996004515878503,0.5393266188543306,0.0,0.11374992698788092,0.2647221635651366,0.048928555795176326,0.053161897,0.11866666666666667
mode,0.007963206734497198,0.017046568266106468,0.008475898809770344,0.017561133584100018,0.021073813547351522,0.028798279771947738,0.0,0.008373921956512416,-0.0004573037505757336,0.004069156928877808,0.06430784,0.013111111111111112
speechiness,0.0511209067223694,0.043160254907431764,0.04528828133647175,0.027059489559733838,0.029986940060765695,0.00366405277258902,0.0,0.0009721412801025434,0.0,0.044071914293066054,0.037956074,0.1
acousticness,0.09765646330582334,0.09864300637810597,0.05948331853606107,0.08938050384496897,0.08072070977804631,0.020008489172565806,0.0,0.004179880497250099,-0.00030486916705048915,0.07721603233189632,0.063370585,0.08222222222222222
instrumentalness,0.21230101400678755,0.2437471039018408,0.4591792692276042,0.2837025198330808,0.1917018236043284,0.05836470589753801,0.0,0.011622905215892512,0.0,0.48174046346129895,0.41625375,0.10066666666666667
liveness,0.03711057156024329,0.03131020867203681,0.011669828980336262,0.006735802237356772,0.012483839667126503,0.003787241918101845,0.0,0.0,0.0,0.014213714712287244,0.020246582,0.04933333333333333
valence,0.06266823990439596,0.06292623825008277,0.03700295993643776,0.04271190450122426,0.021187821048059753,0.0361245272005116,0.0,0.009938057726741537,0.0,0.03459149793336685,0.036751952,0.07444444444444444
tempo,0.038377092409717296,0.03116662222800307,0.02083664867990632,0.024791220410581415,0.026602086817612138,0.041090540171286376,0.0,0.6450332746811117,-0.0002126184710124666,0.01648295252344052,0.020133615,0.07266666666666667
time_signature,0.004678102117048533,0.013242970979210312,0.0015116954442315855,0.0018726960420476244,0.0,0.07796767986070821,0.0,0.03193386059443706,0.0,0.0015433888122229427,0.020615818,0.0071111111111111115
chorus_hit,0.035485110208720035,0.02728170695806535,0.012397146041747874,0.008202918457100833,0.00529472559373095,0.001048871042084795,0.0,0.09540020591598251,0.050947391991416034,0.012373452174127296,0.018778635,0.054
sections,0.03183795114471674,0.038475951275449165,0.004348396374809732,0.007027045653374787,0.004395532666493609,0.06918185189303998,0.0,0.022439543004644583,0.03621172272661494,0.009801045498733982,0.02129389,0.018666666666666668
duration_ms,0.10014649204225455,0.0666123258485731,0.09751874554476694,0.1262701637515796,0.18718299102568212,1.1672920257952643e-05,1.0,0.002884001611335978,0.6490935131054713,0.08453639399723858,0.07316177,0.09288888888888888
