,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10598267216811445,0.10444198765342838,0.14155422589521552,0.1118424634069002,0.0780588884643823,0.15960038868712095,0.0,0.018528995020049777,0.09539797227155931,0.07830109,0.11666666666666667,0.1017573398442403
energy,0.06647554110421834,0.06881202886912213,0.017507038415449944,0.042710804850444484,0.0,0.015229055974990014,0.0,0.013263015854590296,0.024648923909182018,0.037508696,0.05584415584415584,0.0371390083304201
key,0.02625661986963638,0.03368589823564507,0.0024253506898233006,0.009336109432007918,0.0,0.002761911189270096,0.0,0.002286679737192938,0.006017187931865393,0.030232277,0.0170995670995671,0.006952595511914146
loudness,0.06368056422642696,0.056396464769837625,0.0471621175041541,0.07933388109000179,0.032050123690220894,0.023385838082629902,0.0,0.4261400769468469,0.046554680135872384,0.047224246,0.07835497835497836,0.049191951873724465
mode,0.007529139851205552,0.018204729817202902,0.003053837337704842,0.008408615043873715,0.0,0.0440579920861952,0.0,0.004783790125047307,0.0016102560403019055,0.038098298,0.011255411255411256,0.012945056951036921
speechiness,0.09715954238541055,0.08009029989823996,0.1266688858953164,0.10504704119042678,0.13401036126094318,0.04487159877070222,0.0,0.003935685020476281,0.10131822579173408,0.09158762,0.09826839826839827,0.10208584514173022
acousticness,0.11336393160550168,0.12842936850145295,0.14748433154697985,0.1585253926093881,0.18221746350755091,0.15522965072190306,0.0,0.030807667663723937,0.13117135836338548,0.10057455,0.09502164502164502,0.1464010965420637
instrumentalness,0.14697295313722974,0.17881389722814867,0.26449879243458607,0.16529595489262663,0.25387831889673995,0.26991612449164476,0.0,0.037751638799875586,0.2719390797213409,0.22921634,0.10865800865800866,0.24478208805840285
liveness,0.052686746173257006,0.043584790859796524,0.019689516497575693,0.031559899753504796,0.01108517992089476,0.07740311432977548,0.0,0.006729494839831861,0.033147072883467826,0.037818756,0.05108225108225108,0.024127308318466028
valence,0.06664828848640317,0.07178394400960147,0.0377690981102689,0.07315195198654424,0.0,0.13666546163585686,0.0,0.021432992472664326,0.037143277407385156,0.049073905,0.10216450216450217,0.062276158073918925
tempo,0.05216766657116687,0.042802735697918905,0.027817142538782483,0.047332377092717384,0.010223091652353716,0.0006107125619793682,0.0,0.020504847292427977,0.0364226231806484,0.035525076,0.07575757575757576,0.03918563716796007
time_signature,0.006356791994318999,0.016203791062890147,0.002898870350809345,0.006195997070217238,0.0027878193871747467,0.06314737825044774,0.0,0.00322309613263815,0.005778645598389948,0.043643612,0.005194805194805195,0.011091494420461749
chorus_hit,0.04661180992386415,0.03700172110386897,0.010099340373309005,0.026372243546412467,0.0,0.0013669985424555934,0.0,0.27229525197905136,0.040021408205181276,0.032351837,0.05497835497835498,0.01750256511538303
sections,0.04021129063621242,0.051181338545164455,0.011900009227957746,0.018924112837585706,0.027478332334129493,0.005753376726762681,0.0,0.016070588791051797,0.010197174440466836,0.040242944,0.033116883116883114,0.02152190165959383
duration_ms,0.10789644186703383,0.0685670037476819,0.13947144318206667,0.11596315519734852,0.26821042088561026,3.9794826612562435e-07,1.0,0.12224617932453152,0.15863211411921907,0.108600765,0.09653679653679653,0.12303995299068339
