,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.08360558664986462,0.0817814843443015,0.09919580153285483,0.09403984867756512,0.04664459276592572,0.056883061314155346,0.0,0.0098546439146257,0.08641178372551055,0.08187087,0.10419790104947527,0.08839537422291995
energy,0.08304822896444444,0.07714319806473771,0.059872557852363825,0.058749741829445215,0.009358523481796426,0.04186966688603768,0.0,0.011902132540533772,0.06366159677639882,0.056081194,0.08320839580209895,0.07309391537988179
key,0.013676469670939701,0.0395146240754213,0.007633008483521596,0.012897371837276789,0.0,0.03436264599885983,0.0,0.008655939670856249,0.006523241571735939,0.024008967,0.025487256371814093,0.025519626886921835
loudness,0.07607202477661523,0.06756695022180563,0.03810663263289116,0.0332239835902426,0.05374536754807941,0.3653734765332735,0.0,0.17115546098536627,0.02930517080693215,0.04316109,0.06221889055472264,0.05589371847899751
mode,0.00692915225694111,0.019453531653635156,0.007535291156305314,0.026830649513118938,0.009051685274900013,0.057457824184781,0.0,0.010080334806566326,0.004537594862160113,0.05201557,0.013493253373313344,0.016570618569711905
speechiness,0.09803849112282782,0.06717246046510413,0.11657189041427189,0.12199322094173044,0.08154917649891412,0.008979652927859941,0.0,0.0012801624989681648,0.11503259414753868,0.078147605,0.09970014992503748,0.10066497884029092
acousticness,0.1427886971113877,0.12236740763596377,0.14568238859499794,0.17648015129518785,0.14818470643672405,0.06939545372292812,0.0,0.014214868747687508,0.1670810333381089,0.10542784,0.10194902548725637,0.11380095340073698
instrumentalness,0.18284153791757363,0.18305959606871425,0.2621003435021774,0.20129109580847002,0.15040956452983162,0.10542358948149747,0.0,0.018904119889277513,0.2815237613873484,0.2255114,0.08095952023988005,0.1703305571088604
liveness,0.03008618439709426,0.04277294516379765,0.026303937696221705,0.013094963693009757,0.0,0.007243805835879224,0.0,0.0002825750439818481,0.027733055913902047,0.024776015,0.068215892053973,0.03468884116102369
valence,0.0571244225770068,0.06684926419756218,0.02718689384508004,0.03418038864053829,0.034239594251953144,0.06948987811504316,0.0,0.014179540535852546,0.026057843265817456,0.034162756,0.06596701649175413,0.0507612112323879
tempo,0.03330735645959671,0.04877664682983494,0.04070491137258562,0.03189659676326741,0.0,0.02317971470429455,0.0,0.5883431248929526,0.030760174661671243,0.03231181,0.07796101949025487,0.05637781892448402
time_signature,0.013104380312360655,0.02639111901857905,0.010897074483279647,0.02171418926481509,0.023564325670583256,0.13172303503541638,0.0,0.025551841809627628,0.004175047316867003,0.07695379,0.01649175412293853,0.020238580902124315
chorus_hit,0.02812919493521178,0.04178050140443806,0.022322700196012728,0.019295842120234344,0.0,0.013230327609079254,0.0,0.08520740521921664,0.014479443359404917,0.027502231,0.05472263868065967,0.03070113970176095
sections,0.03974579142519514,0.05186858577683435,0.021213641904050392,0.028012838843305115,0.046846385258782354,0.0153870872939034,0.0,0.00405404769394426,0.01788260512370659,0.049417555,0.04422788605697151,0.04120057215696173
duration_ms,0.11150248142294034,0.06350168507927036,0.11467292633338606,0.12629911718179293,0.39640607828250984,7.803569911612882e-07,1.0,0.036333801750543036,0.12483505374289733,0.088651344,0.10119940029985007,0.12176209303293611
