,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.0628892558105031,0.05291144409969398,0.04257490905459799,0.04004643396181391,0.0,0.030481616653747955,0.0,0.004143362211255407,0.07961586767592828,0.042024296,0.06671779141104295,0.04960389851119902
energy,0.0828059418102582,0.0779299580892404,0.048621051020351906,0.08688526091486508,0.0,0.032055081326760035,0.0,0.005235851427380931,0.05107369269177291,0.04578909,0.08895705521472393,0.06732699501931673
key,0.028031914198243732,0.03281883244088041,0.005288517099833754,0.010140412764024897,0.0,0.09171884885257177,0.0,0.02657360811828041,0.010040132534270206,0.022287045,0.0299079754601227,0.018371485720144673
loudness,0.08627297153853572,0.06476637488169934,0.06148909134976165,0.0533880000177559,0.043226128861976534,0.3506740541859806,0.0005376714629399364,0.020519875408668512,0.03356356402039603,0.05427801,0.0897239263803681,0.06819657190583968
mode,0.021366392040221657,0.05455720048477247,0.038167439759016056,0.052762762811241114,0.03441093041492784,0.078084288700128,0.0,0.007528945696402316,0.025497193674843918,0.1127071,0.020705521472392636,0.03415574504653325
speechiness,0.08370471191422837,0.062432769356172174,0.09855296123578687,0.10979919561775095,0.03184328044833383,0.009704704466058192,0.0,0.00034167169192211123,0.08474166119024576,0.06263852,0.12346625766871165,0.09663339179889721
acousticness,0.1055212951897785,0.11079806851961829,0.15331069006821774,0.14211608634072873,0.21300722845569223,0.04173713381009322,0.0,0.0009351146034826307,0.1708972652169885,0.12797143,0.07745398773006135,0.11714586725013956
instrumentalness,0.12257727220145333,0.17052678163922316,0.24100358548731696,0.14111821936052873,0.06731006761238412,0.06914566732733798,0.0,0.004124506424922904,0.25764921934125073,0.20331888,0.06825153374233128,0.11918366098830344
liveness,0.050304171853717,0.03269217909661948,0.015809212445360446,0.023032250429116906,0.0,0.005723120163516103,0.0,0.0012566715097932356,0.028161365951779257,0.024382582,0.0736196319018405,0.03124853395879022
valence,0.08145700203672873,0.09786459996075521,0.05861970053431469,0.08292738296644073,0.20378814460326553,0.05212065438343534,0.0,0.006929578125377467,0.029679215123364362,0.07029975,0.08819018404907976,0.0885840584775511
tempo,0.05910701712328553,0.040360404398227516,0.038152794530575254,0.04813179514862537,0.0,0.03198239363229427,0.0007258632826599703,0.706204174925357,0.040945862465275595,0.038720075,0.08052147239263803,0.05640967177299767
time_signature,0.009695471490943484,0.026119766064478415,0.008042947267572239,0.005617510930065174,0.0,0.06014599241649207,0.0,0.018919770513022235,0.003182342085860733,0.038848665,0.023773006134969327,0.020382553533407892
chorus_hit,0.05069258033961385,0.03375109805391062,0.011796046391193003,0.01538792703065379,0.0,0.0392376896904436,0.00021506858517597455,0.16913239568743657,0.015449995070917485,0.023454547,0.04524539877300614,0.023271815202638723
sections,0.04088293266499904,0.05825371437164502,0.004982961662736734,0.004093904471346246,0.0038343818578237656,0.1071731064051389,0.0,0.013176979223151768,0.009167789783129274,0.026299138,0.026840490797546013,0.034281572769036685
duration_ms,0.11469106978748986,0.08421680854306345,0.17358809209336468,0.1845528572350424,0.40257983774559614,1.564798600192801e-05,0.9985213966692241,0.014977494433546464,0.16033483317397693,0.1069809,0.09662576687116564,0.17520417804520405
