,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.13150178406459134,0.15397363561841307,0.12955449839556651,0.14853557646584048,0.1329371153093661,0.04685907004963844,0.0,0.010717747687745149,0.0,0.13189794993416756,0.08161017,0.12377777777777778
energy,0.07514682413080016,0.08777080358405613,0.0506432989447373,0.0674979930619482,0.06163552044560241,0.01167918456182519,0.0,0.005688897053604046,0.0,0.03379816061728796,0.055236384,0.0651111111111111
key,0.01818430563583158,0.021513224167000935,0.0012262852977356032,0.016083463131129266,0.0,0.062087232535501025,0.0,0.03267806418328302,0.0,0.006569201101490343,0.017121071,0.027333333333333334
loudness,0.09299062546095517,0.08319219283871733,0.06309631784590349,0.13280190064532016,0.26145869482227846,0.5393265944003686,0.0,0.09944416132979984,0.2647221635651366,0.04657908154516312,0.053161897,0.11866666666666667
mode,0.007015686597394657,0.02022230699511163,0.006938539348080299,0.020402004955934826,0.008622775899894238,0.02879828649095357,0.0,0.0077049291995334515,-0.0004573037505757336,0.005027212495956308,0.06430784,0.013111111111111112
speechiness,0.049247454655256484,0.03722392316918375,0.03269434699963421,0.03800163165645839,0.015657918917092138,0.0036640533936637847,0.0,0.0009707176917266849,0.0,0.04456324171327854,0.037956074,0.1
acousticness,0.09517566214686678,0.10048990924948814,0.04743203194621752,0.08745149727332951,0.06807108102662461,0.02000848797257452,0.0,0.003384046419162667,-0.00030486916705048915,0.07791175761593798,0.063370585,0.08222222222222222
instrumentalness,0.24038651990353316,0.2502403653254008,0.5292451796662645,0.22591761182859932,0.20307051565381404,0.05836471491159744,0.0,0.010937019729483037,0.0,0.48501691395343155,0.41625375,0.10066666666666667
liveness,0.03291111640829638,0.02545378357151606,0.004351396240474283,0.018953940982299473,0.0,0.003787243016527659,0.0,0.0,0.0,0.01570942070113113,0.020246582,0.04933333333333333
valence,0.05499963410485595,0.06614439889063135,0.02244284323494774,0.05617181006623396,0.003681471926595372,0.036124533333432074,0.0,0.009041141384344175,0.0,0.03118132625189048,0.036751952,0.07444444444444444
tempo,0.036068545563116575,0.025269074314600043,0.006730293299918401,0.03930398305456274,0.0,0.041090502019900194,0.0,0.6438218966036897,-0.0002126184710124666,0.014981622154974061,0.020133615,0.07266666666666667
time_signature,0.004418860150408021,0.014688774654984183,0.0007286760700787975,0.0034712035978315486,0.0,0.07796769852516038,0.0,0.029957851054929655,0.0,9.094669200174598e-05,0.020615818,0.0071111111111111115
chorus_hit,0.031066550889389057,0.021156278919297007,0.0031125307547459563,0.02304366798358291,0.0,0.0010488548885022452,0.0,0.12408437599994676,0.050947391991416034,0.010873292155744323,0.018778635,0.054
sections,0.028666657821357668,0.034959315341362554,0.0007548807020049041,0.011475056703029219,0.0,0.06918187099445797,0.0,0.01992157686826369,0.03621172272661494,0.009503421633289568,0.02129389,0.018666666666666668
duration_ms,0.10221977246734694,0.05770201336023704,0.10104888125369045,0.11088865859389989,0.24486490599873267,1.1672905896798242e-05,1.0,0.0016475747944880302,0.6490935131054713,0.08629645143425532,0.07316177,0.09288888888888888
