,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.12531767711056657,0.11435238802496904,0.11827512598082102,0.11105488093995151,0.0780588884643823,0.1596334028099746,0.0,0.018937548260128157,-0.00017853442405517923,0.0976706612739792,0.07857625,0.11142546245919478
energy,0.06226066706544501,0.06486179479369551,0.0298107332145398,0.043302134256654135,0.0,0.015322888743816718,0.0,0.013289430358887544,0.0003192242995727124,0.02325645617707587,0.033375297,0.05745375408052231
key,0.012506574772738435,0.028917138691466317,0.005621557766353317,0.01109531707349855,0.0,0.0027562862883445754,0.0,0.01623510220664238,-0.003452145140871276,0.009209675447461018,0.02167533,0.01545157780195865
loudness,0.0595977537571699,0.05098863763065023,0.05026109185841805,0.08031702687051254,0.032050123690220894,0.023291057793950853,0.0,0.4611236375903581,0.26019522232669423,0.04669674965995445,0.04436959,0.08161044613710555
mode,0.004060794225117303,0.017964485649215385,0.0033790420011804647,0.008393633646651721,0.0,0.04400589470254376,0.0,0.005266335383231502,0.0,0.0022125230749326847,0.033796635,0.009793253536452665
speechiness,0.09626522761016552,0.07918720891421432,0.12194949218571563,0.09990399255554114,0.13401036126094318,0.04491649476044179,0.0,0.003716695840345344,0.0,0.10261989032352124,0.087304026,0.0985854189336235
acousticness,0.13220438073169002,0.1355553809166443,0.12925302825368018,0.15834675449896748,0.18221746350755091,0.15530592283334693,0.0,0.03426702360754915,0.0002815743264435364,0.128072585082623,0.11321473,0.09292709466811752
instrumentalness,0.18921164907613502,0.1940014077244061,0.2561506410466996,0.16483851619501208,0.25387831889673995,0.270061594152082,0.0,0.041880083030658904,0.0014555941460414371,0.2679502708365826,0.2609744,0.11969532100108814
liveness,0.03715870277586297,0.03823460930491942,0.02831456794130148,0.033335461635847975,0.01108517992089476,0.07747303305965786,0.0,0.00645584490096376,-0.00035698758528711474,0.03326982125605061,0.032969464,0.04896626768226333
valence,0.05661167363191296,0.07369248307519807,0.04826812280140064,0.07713010914447774,0.0,0.13664858587131573,0.0,0.020811100163797773,0.000600863855555122,0.03960259702729109,0.04254604,0.10533188248095757
tempo,0.035496831102271684,0.037843504134115774,0.03575967082092497,0.04744400081474181,0.010223091652353716,0.0006078380376211586,0.0,0.07919968658433298,0.037184994179003256,0.03383829503351336,0.032081332,0.07595212187159957
time_signature,0.007216063893483094,0.01848834390056627,0.003961865734697155,0.005599364462952537,0.0027878193871747467,0.06284607289765613,0.0,0.0,0.0,0.005636075492309552,0.048523083,0.00544069640914037
chorus_hit,0.02420960180004817,0.030427750148868005,0.01818523782221879,0.028429223346079672,0.0,0.0013622040466529668,0.0,0.2481692693009259,0.016516495995814146,0.03948850597055505,0.025483634,0.05223068552774755
sections,0.033920098460773554,0.04632762469983136,0.013653387285514792,0.015286745109979596,0.027478332334129493,0.005768326088042992,0.0,0.03291909765210902,0.0626276153984235,0.009713518206068148,0.040641654,0.03394994559303591
duration_ms,0.12396230398661978,0.06915724239123998,0.13715643528653418,0.11552283944913157,0.26821042088561026,3.97914551863214e-07,1.0,0.017729145120069487,0.6248060826226657,0.16076237513808203,0.1044686,0.0911860718171926
