,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.049568807109021125,0.05754951245703192,0.042431383315517754,0.048451195789204655,0.0,0.030481267355835492,0.0,0.004129517451466193,0.08365203097878933,0.042024296,0.07735618115055079,0.04960389851119902
energy,0.0730729522709115,0.07324026383124196,0.048611904372764025,0.09678948560357836,0.0,0.032054910786733316,0.0,0.005249182378518248,0.04900517455387126,0.04578909,0.07858017135862913,0.06732699501931673
key,0.014876194926423267,0.038581718593956205,0.005463851472740104,0.019167422939326953,0.0,0.09171785031568323,0.0,0.02646311406573772,0.009588945692110452,0.022287045,0.026193390452876376,0.018371485720144673
loudness,0.07961794367192787,0.07474852766935906,0.06149054399612208,0.06659307589552475,0.043226128861976534,0.35067870454143624,0.0005376714629399364,0.021149103542343756,0.03159767849384281,0.05427801,0.0788249694002448,0.06819657190583968
mode,0.03244190742438262,0.04608541954985953,0.038166633823756825,0.045774922432827075,0.03441093041492784,0.078083330339531,0.0,0.007508191332355264,0.023257373279836575,0.1127071,0.022031823745410038,0.03415574504653325
speechiness,0.08163847137824388,0.06448477348552735,0.09864836830957083,0.11317948802645944,0.03184328044833383,0.009704620367762979,0.0,0.0003447211309367647,0.08565318787128584,0.06263852,0.1324357405140759,0.09663339179889721
acousticness,0.1441115231399346,0.1099424072906199,0.15311543684062132,0.11556261771872309,0.21300722845569223,0.041736893510806165,0.0,0.0009932775304465334,0.1686975047809832,0.12797143,0.07906976744186046,0.11714586725013956
instrumentalness,0.1684398731059101,0.15099996398146365,0.24098884536220277,0.12352751094625058,0.06731006761238412,0.06914502700075029,0.0,0.00413156758914819,0.2548430396441035,0.20331888,0.08592411260709915,0.11918366098830344
liveness,0.02819592912585292,0.040783279641172045,0.015672843344428797,0.030540673602159635,0.0,0.005723050664664496,0.0,0.0012543552707630053,0.02941472910891502,0.024382582,0.0580171358629131,0.03124853395879022
valence,0.07720821784425884,0.09149211134057328,0.058615599697158634,0.08453653863993706,0.20378814460326553,0.0521201840937891,0.0,0.006938601330432747,0.031241015730840434,0.07029975,0.09204406364749082,0.0885840584775511
tempo,0.03615043048772611,0.04572568198342673,0.038315455322379725,0.05338465034255232,0.0,0.031982132157385885,0.0007258632826599703,0.7032791176937517,0.04192055160147763,0.038720075,0.07539779681762546,0.05640967177299767
time_signature,0.007755887643504882,0.024605058936309338,0.0080424728288268,0.006316508694463726,0.0,0.060144967602142524,0.0,0.01879935598987728,0.003869864892961309,0.038848665,0.01591187270501836,0.020382553533407892
chorus_hit,0.028567807517076643,0.04092685300568921,0.01179640689442676,0.024051496029747186,0.0,0.039239772220328414,0.00021506858517597455,0.1679190929263736,0.015220524769938666,0.023454547,0.04871481028151775,0.023271815202638723
sections,0.050178132345953336,0.058151176738256975,0.005057416292903576,0.0112725831857849,0.0038343818578237656,0.10717164119996474,0.0,0.013051692689213084,0.009074329651539039,0.026299138,0.02252141982864137,0.034281572769036685
duration_ms,0.12817592200887237,0.08268325149551285,0.17358283812657999,0.16085183015346002,0.40257983774559614,1.5647843186290298e-05,0.9985213966692241,0.01878910907863599,0.16296404894950484,0.1069809,0.10697674418604651,0.17520417804520405
