,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.12526411118177716,0.13930409515681183,0.12332343439182179,0.15301794316651884,0.1329371153093661,0.04685912865718007,0.0,0.010676757436049055,0.13074474401887115,0.08635923,0.11975116640746501,0.14174142515355695
energy,0.07329804067923971,0.08112786062148049,0.04662088184739674,0.061427752222030965,0.06163552044560241,0.01167917266466013,0.0,0.006137788721109953,0.03330715505939158,0.061367787,0.07698289269051321,0.07533149814260455
key,0.01907367347917514,0.025437227189320004,0.004790546518686153,0.006096415390799318,0.0,0.062087302445296616,0.0,0.034426574740886874,0.006944746386062146,0.015412005,0.025660964230171075,0.013622365461950788
loudness,0.09849855225363495,0.0809650501254704,0.06744769601453678,0.1406708698739203,0.26145869482227846,0.5393263646134617,0.0,0.10130633663872693,0.05006456689196088,0.06916989,0.1088646967340591,0.10963828341582607
mode,0.006883502375010365,0.01851074612455887,0.008515995514348599,0.016253322598394664,0.008622775899894238,0.028798330133561905,0.0,0.007506095478248468,0.004954522709377145,0.05362877,0.02021772939346812,0.027927285091333638
speechiness,0.05165390157470794,0.04205594559707984,0.04515322728387786,0.02997304163956375,0.015657918917092138,0.003664057319133401,0.0,0.0008116153797283945,0.04618126394174298,0.035146095,0.09175738724727839,0.05073877854531988
acousticness,0.08891936673437421,0.1013748249643479,0.059410254088463225,0.0891899831330774,0.06807108102662461,0.02000847744880944,0.0,0.004309757023717555,0.07957213907335912,0.06364876,0.07776049766718507,0.08110959406013896
instrumentalness,0.241502585071713,0.24836264032023,0.4594436564527988,0.2892029174409614,0.20307051565381404,0.05836477114588024,0.0,0.01114407270188924,0.4767474499915334,0.40716535,0.1057542768273717,0.22603256879537464
liveness,0.03397107959516604,0.0310945086997567,0.011650087916960886,0.006720789872052669,0.0,0.0037872502122209763,0.0,0.00013698501790384117,0.015514509224929678,0.016184447,0.038102643856920686,0.014701137755604355
valence,0.058720616847875745,0.0632141871467258,0.037070749574769676,0.03907100727446965,0.003681471926595372,0.036124572061040076,0.0,0.009150010209685778,0.026834945931483473,0.032439426,0.08786936236391912,0.05849871449976723
tempo,0.0359417528274388,0.03067346377608117,0.020954312516458868,0.021282044020124787,0.0,0.04109029530704237,0.0,0.6333103191874798,0.016604347748085328,0.017715205,0.08553654743390357,0.027990761206044813
time_signature,0.005424694959378542,0.012980076305539934,0.0014917843426765158,0.002472531445686002,0.0,0.07796782005603631,0.0,0.030962027404058148,0.002065619793744134,0.01556079,0.01088646967340591,0.008150710671822645
chorus_hit,0.03084005283985198,0.026929412245166824,0.012470113928809978,0.010141834866811021,0.0,0.0010487865013209352,0.0,0.12634678071287422,0.01288692252854582,0.01614424,0.042768273716951785,0.018234989960889562
sections,0.027528120820217158,0.03567838234678864,0.004433759872949538,0.0034679164211736655,0.0,0.06918199860175926,0.0,0.02023992714866493,0.009261854276441052,0.013561803,0.017107309486780714,0.014988505765113585
duration_ms,0.10247994876043914,0.06229157938064169,0.0972234997354447,0.13101163063441562,0.24486490599873267,1.1672832596431025e-05,1.0,0.00353495219897657,0.08831521242447223,0.096496284,0.09097978227060653,0.1312933814746523
