,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.08826382497201114,0.08315992858560134,0.10479584114129685,0.09403984867756512,0.04664459276592572,0.05688252470972381,0.0,0.01007106197706923,-5.949746575065613e-05,0.08267961793765455,0.08511439,0.09838472834067548
energy,0.07642232296727731,0.07570023232433543,0.04974667931379012,0.058749741829445215,0.009358523481796426,0.041869463328915606,0.0,0.012554614238602638,-0.0009398578336641998,0.05969868220746848,0.06063511,0.07415565345080763
key,0.013305594437325248,0.03986896616768042,0.00027390832203463204,0.012897371837276789,0.0,0.0343618002805932,0.0,0.00625809783221484,-0.004435284754146018,0.008081039158020721,0.0036769307,0.012481644640234948
loudness,0.07890812945236053,0.06191458612473122,0.013603443411954566,0.0332239835902426,0.05374536754807941,0.3653777756856565,0.0,0.21849941875985662,0.4005861191279682,0.030683227492161506,0.048268847,0.05066079295154185
mode,0.006981869787957781,0.019564634007595855,0.006454159487436884,0.026830649513118938,0.009051685274900013,0.057457242102278275,0.0,0.012066268109921886,-0.00038058521147452687,0.004479812915740172,0.044705838,0.01762114537444934
speechiness,0.09559375051960284,0.06761180383021315,0.13311156512245992,0.12199322094173044,0.08154917649891412,0.008979580829201073,0.0,0.0010934708592107202,0.0,0.11484501726857521,0.06791084,0.14023494860499267
acousticness,0.14431824705237845,0.1251255745757704,0.1741003173496046,0.17648015129518785,0.14818470643672405,0.06939508806465405,0.0,0.015632551953926405,0.0004104541496715666,0.16528591977560173,0.11215166,0.1196769456681351
instrumentalness,0.18579719714856563,0.18552902083236228,0.3406177099317183,0.20129109580847002,0.15040956452983162,0.10542281765115702,0.0,0.021320594995538577,0.00278895548346277,0.2820809277388985,0.30290544,0.08883994126284875
liveness,0.030560820615484357,0.042867991238669384,0.0028641707964933757,0.013094963693009757,0.0,0.007243736787477757,0.0,0.0,-0.0002349531091209886,0.025887277108008495,0.006556497,0.04772393538913363
valence,0.05155705259177701,0.06614205979176815,0.00811729759553122,0.03418038864053829,0.034239594251953144,0.06948931848201903,0.0,0.01433996665284547,0.0011448282490599674,0.033084086448399094,0.029374368,0.06387665198237885
tempo,0.03335901195887567,0.04887138470127866,0.008650467057072089,0.03189659676326741,0.0,0.02317992869948357,0.0,0.6050066745717151,0.05266472262053363,0.03388957941860847,0.024847278,0.04185022026431718
time_signature,0.014280331031838997,0.02660514809271025,0.014156599834542847,0.02171418926481509,0.023564325670583256,0.13172145930358048,0.0,0.024488599541399887,0.000440170271041682,0.003293651366201044,0.06223175,0.020558002936857563
chorus_hit,0.02692334962383707,0.04176981498963515,0.005564190835092317,0.019295842120234344,0.0,0.013230876578790539,0.0,0.038837526228676526,0.012819428011798459,0.014778980129161413,0.01433138,0.055800293685756244
sections,0.04288300392373831,0.05015761344467378,0.01353853100099736,0.028012838843305115,0.046846385258782354,0.015387607066599354,0.0,0.00823975191399079,0.11362573736342624,0.016268898087648045,0.05475277,0.041116005873715125
duration_ms,0.11084549391696957,0.06511124129297477,0.12440511879997497,0.12629911718179293,0.39640607828250984,7.804298697208947e-07,1.0,0.01159140236503125,0.4215697630971939,0.12496328294785247,0.08253698,0.12701908957415564
