,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.09617920944086458,0.10460481546946253,0.06893184839509373,0.10208789096763882,0.17844976634948861,0.06488647220707416,0.0,0.008570143781139914,0.06223990441862691,0.050943304,0.1102514506769826,0.10871593938319529
energy,0.09232059894564275,0.10757711629477018,0.08717085200443592,0.135851212554631,0.11342677914819109,0.005341537925973653,0.0,0.004550816225887012,0.08925080197503316,0.07497812,0.09792069632495165,0.12874798891112532
key,0.02008555431095536,0.029608497206696272,0.008402550938282636,0.012085760501867828,0.0,0.08992498706417593,0.0,0.029491804224960828,0.013771429777589958,0.019081395,0.032156673114119926,0.02175214067583339
loudness,0.09428844723055836,0.07855219842044357,0.06089990141638894,0.154545382316208,0.07003641753982108,0.3725073123386894,0.0,0.09631045528677348,0.05919467990925064,0.052052364,0.081963249516441,0.08736082376254162
mode,0.004322175352974746,0.014057746861568238,0.0016703957411223966,0.003821384248971165,0.0,0.02429813838897524,0.0,0.00436845597642754,0.0015653823571165552,0.021146385,0.006528046421663443,0.009807694455074588
speechiness,0.04283191610340839,0.03877808756945639,0.03668907782625768,0.029394672200337656,0.0,0.006785914214433176,0.0,0.0012311559055644098,0.025636059463197945,0.028811121,0.059961315280464215,0.04262091645604837
acousticness,0.10857868128351161,0.07505738818265884,0.05288191651453769,0.08291845210980542,0.1895753886019766,0.007995245293042833,0.0,0.0032239640245927464,0.03896439637384367,0.053254656,0.09042553191489362,0.07855555672537742
instrumentalness,0.2741624579380722,0.28336453140856904,0.502320459131368,0.276606679221373,0.29103114518379203,0.09792213520638504,0.0,0.011655906460122987,0.5556264854126711,0.49700478,0.13612185686653772,0.24727068195542434
liveness,0.03475807849038854,0.03352718192361883,0.017735439501730992,0.019933954267978355,0.0039055332013415516,0.007465857710143867,0.0,0.00021370303381589267,0.02386561276501915,0.018669074,0.0609284332688588,0.03296338596180137
valence,0.058793960231783286,0.061772759082334844,0.0616147409984505,0.07110485969627553,0.048426571267876806,0.034316473884553174,0.0,0.006081766299152902,0.04104112082877916,0.046247274,0.10251450676982592,0.07417860734166375
tempo,0.036595139910467485,0.03230197535412319,0.02892528079044096,0.029789171285285816,0.009224505915731212,0.018608316460064202,0.0,0.71122438690419,0.013961289643565997,0.02155289,0.0725338491295938,0.04934103958305294
time_signature,0.00851375834531175,0.015557812735582368,0.004517302929552143,0.009183310497474395,0.006869805907400779,0.12090152025681529,0.0,0.023671302947798074,0.0021120977531497317,0.040809985,0.010154738878143133,0.014353956577447724
chorus_hit,0.03312972193199878,0.0309240127394665,0.020913021767755745,0.018563012974069648,0.0,0.009405405508215557,0.0,0.07535067256748809,0.02828067757560212,0.01983049,0.05004835589941973,0.027445767423266126
sections,0.02422949898956307,0.036315315373910806,0.005234888490608952,0.0075814369530375495,0.0,0.1396298521409792,0.0,0.021063319562806396,0.007792426998468224,0.014536269,0.017891682785299807,0.014144091573935706
duration_ms,0.07121080149449897,0.05800056137733855,0.042092323553973604,0.046532820205045726,0.08905408688438002,1.0831400479304396e-05,1.0,0.002992146799279671,0.03669763474808547,0.041081984,0.07059961315280464,0.06274140921421206
