,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.10038077298407969,0.1041934334104718,0.06659746541829237,0.10105035283269609,0.16409563559971022,0.0648860145602073,0.0,0.007778067156029628,0.0019091651142596477,0.06489106770098362,0.05270011,0.1158371040723982
energy,0.09418578292576135,0.10375351724130503,0.08938418173847401,0.14004085807268127,0.1324643926956576,0.005341313764869838,0.0,0.004180035113977323,0.0,0.08764798852516356,0.07424518,0.09864253393665158
key,0.0223217529993172,0.030165807299070667,0.005496240617890822,0.0049746260526432485,0.0,0.08992438152315117,0.0,0.02455288002553368,0.0009751101025796477,0.013742656861102818,0.01868299,0.025339366515837104
loudness,0.10274098055710154,0.08359251680597961,0.060322089542054896,0.15774746030103262,0.06348324521077255,0.3725116591167285,0.0,0.08399326971633074,0.43701417132588855,0.057238508320624264,0.051499918,0.09004524886877828
mode,0.005834868544861083,0.013010876088257689,0.0011422081058776537,0.001392474225701348,0.0,0.02429791875828258,0.0,0.0046170866261043735,0.000991271357669985,0.0007694962391932732,0.023361208,0.006787330316742082
speechiness,0.04552941101003896,0.03923221555374903,0.030958305330182866,0.024423126526831204,0.0,0.006785870721588461,0.0,0.001000407475617536,0.0,0.023622850042998005,0.029273378,0.07013574660633484
acousticness,0.09404980999320117,0.0739551138259947,0.049774039217028984,0.09064401945238156,0.19411228012022916,0.007995440928775348,0.0,0.002778620891762974,4.118599467865684e-05,0.04029585922355078,0.050110463,0.083710407239819
instrumentalness,0.26128099164249724,0.2877413354868986,0.5440766342395336,0.32177555226729393,0.3779770007116903,0.09792160586266768,0.0,0.010735485429095757,0.0028182523684214316,0.5520488137415578,0.4914038,0.13665158371040723
liveness,0.037636887695665776,0.03467789094607385,0.011332320789831108,0.009150125322503894,0.0,0.007465785275905029,0.0,0.0,9.81880500298132e-05,0.022604946813557646,0.020531856,0.060180995475113123
valence,0.061281808668198816,0.05775353101684529,0.05892746226785805,0.06678609819106328,0.01769929714115945,0.034316270856030916,0.0,0.005686549370749948,0.001786119652914544,0.044689690704268675,0.047067117,0.08868778280542987
tempo,0.03943367129405701,0.033392848217624546,0.019549700435776092,0.016548054574127252,0.0,0.01860792473157909,0.0,0.7206886445066955,0.0030964289281872363,0.016464757568064457,0.023497332,0.07285067873303168
time_signature,0.006957470989865307,0.01568824840917162,0.00458474016467717,0.008258775802250326,0.0,0.12090046209309832,0.0,0.022893350789796284,0.0010734085390297036,0.0014525813401684595,0.04171678,0.009502262443438913
chorus_hit,0.03678090956544712,0.031103321290257196,0.012740633897885415,0.007877464481422599,0.0,0.009406002397555867,0.0,0.0837672654512773,0.04241732330279718,0.02629810207343294,0.018199477,0.04751131221719457
sections,0.025918534758742656,0.03635912257011931,0.004712489468259059,0.003601609700762821,0.0,0.13962851831371076,0.0,0.023486142848780485,0.039313418047712316,0.009476712182900273,0.015112017,0.021266968325791856
duration_ms,0.06566634637116536,0.05538022183818107,0.040401488766377884,0.045729402196608405,0.05016814852078055,1.0831095849259399e-05,1.0,0.003842194598248389,0.46846595721583123,0.03875596866243358,0.042598255,0.07285067873303168
