,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.1548180438488985,0.13101681301012222,0.19047986906548167,0.18787255597119165,0.13253738373355073,0.09354588139295282,0.0,0.004758311155720804,0.12547174090067081,0.10181475,0.13609022556390976,0.16352495623393815
energy,0.06001312811895802,0.07463035958096895,0.005963127472858485,0.0184479877365719,0.0,0.02067661969813005,0.0,0.0025486089616155853,0.02801738872825723,0.028818168,0.04736842105263158,0.026427530522489254
key,0.011373084892849517,0.03717035779710743,0.00357481332455083,0.006701537145983732,0.0,0.1452587581334139,0.0,0.02449764138606374,0.010126488765993771,0.025160784,0.02556390977443609,0.01574005532192059
loudness,0.06692680702266043,0.06081659072655297,0.0357402440262589,0.04683278373831604,0.09907489433521614,0.345625749050632,0.0,0.2330299948544279,0.02974574941295358,0.054062665,0.08045112781954887,0.049068061867394264
mode,0.0027728522208835377,0.015303187233845135,0.0006774500940923011,0.0030540065135118933,0.0,0.013732466195545603,0.0,0.0028705306930631672,0.002802939870823197,0.022365587,0.0037593984962406013,0.011036010641601684
speechiness,0.05098741313604458,0.04742853614159963,0.05647308130322038,0.05592566743216311,0.03625813196611805,0.0054402052019659405,0.0,0.0,0.05993201846610964,0.060416266,0.09924812030075188,0.061914325096567815
acousticness,0.15605154343968328,0.1376810398940649,0.16325149353849863,0.20207538999520294,0.13370793277947818,0.07345266095841811,0.0,0.01248646320832498,0.14093144286604312,0.11416566,0.13533834586466165,0.15648078929875103
instrumentalness,0.18131660530650762,0.1579688919132661,0.2766991150230184,0.2009422297407944,0.2532942751626463,0.11078745675742326,0.0,0.015045269684251242,0.28777785589160887,0.241796,0.12406015037593984,0.2110458596861252
liveness,0.026280725273338596,0.044145328991037215,0.011496612735324185,0.014755274845468512,0.01595055225286839,0.01924430345850985,0.0,0.000720782634319128,0.023900220211454958,0.02820902,0.05413533834586466,0.025954233789093215
valence,0.04012067328050075,0.058295560528550665,0.018353561774519123,0.04925712699120015,0.014242195191474223,0.04632554504684857,0.0,0.0014551303062535757,0.035156843005241765,0.037212875,0.08571428571428572,0.05864566535665982
tempo,0.024985440285863362,0.04187981928266863,0.005235497018903561,0.017418320186589942,0.0,0.002152198327123958,0.0,0.36416983227785515,0.023102329591714172,0.023518445,0.05639097744360902,0.024058974126853722
time_signature,0.0031049246847243994,0.010689460851205736,0.0,0.0,0.0,0.1101293752560342,0.0,0.0041227248692713245,0.0015260438584506902,0.029426835,0.002255639097744361,0.004673970158206779
chorus_hit,0.018493072775347535,0.038113183439145486,0.0015175724186895342,0.011477977995727362,0.0,0.005917508403648977,0.0,0.3167320191959227,0.015823792427291317,0.021556769,0.02180451127819549,0.011771592387987096
sections,0.03518222642620485,0.052938180488970324,0.00153078446086824,0.0029148168105749624,0.0,0.0077033831407530865,0.0,0.017562690772910734,0.0041305524833398525,0.018267436,0.009022556390977444,0.008248306223369422
duration_ms,0.1675734592875352,0.09192269012089473,0.22900677774371567,0.18232432489670328,0.314934634578648,7.8889785997128e-06,1.0,0.0,0.21155459352004702,0.1932088,0.11879699248120301,0.1714096692890419
