,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.1473244080936661,0.1500062749422373,0.14543955767112499,0.18787255597119165,0.13253738373355073,0.09354588139295282,0.006589402592518781,0.12498335463402072,0.106576994,0.11994149195514384,0.16622630350468434
energy,0.06007776909498681,0.07751872986238058,0.021447401524557284,0.0184479877365719,0.0,0.02067661969813005,0.0035994441403869814,0.027518959556823215,0.027798967,0.05850804485616772,0.026951499088176928
key,0.012370212036669305,0.02962324774380388,0.007075448172814514,0.006701537145983732,0.0,0.1452587581334139,0.004451738247555751,0.01022768865788364,0.02284398,0.03364212579229644,0.012755571180458931
loudness,0.06786853488967397,0.058873391159299106,0.037348470694861836,0.04683278373831604,0.09907489433521614,0.345625749050632,0.20514255082563884,0.029591618090423447,0.05222013,0.07996099463676255,0.043355914669639645
mode,0.0034060892905695274,0.016283105659522228,0.0012492398053966555,0.0030540065135118933,0.0,0.013732466195545603,0.0030482377904943246,0.0015188582524542629,0.025031734,0.009751340809361287,0.0027470894246549742
speechiness,0.052341551785546475,0.040399073054391214,0.06443824295911359,0.05592566743216311,0.03625813196611805,0.0054402052019659405,0.00012492489341993932,0.0618503568793058,0.05526155,0.10628961482203803,0.06750453314517806
acousticness,0.1456952136186568,0.14315302709336641,0.13435939633271102,0.20207538999520294,0.13370793277947818,0.07345266095841811,0.013182008899897688,0.13938045660084442,0.11018541,0.11799122379327158,0.16236092313782133
instrumentalness,0.18471652684476603,0.17200911239882352,0.2781460253761753,0.2009422297407944,0.2532942751626463,0.11078745675742326,0.013819734711418891,0.28343220349362236,0.25599366,0.10580204778156997,0.21594545486346317
liveness,0.029748108996243472,0.03530579279879465,0.021719147386990215,0.014755274845468512,0.01595055225286839,0.01924430345850985,0.002377467393342491,0.025284257786292192,0.026995383,0.06484641638225255,0.031106536484507202
valence,0.041202563566435604,0.05411426161885409,0.02923680793247926,0.04925712699120015,0.014242195191474223,0.04632554504684857,0.002718321396563983,0.040644128292816994,0.038445476,0.07654802535348611,0.050373377491676405
tempo,0.02596612699334749,0.03373453336277541,0.019395016297727736,0.017418320186589942,0.0,0.002152198327123958,0.4736582270069977,0.025151417096340892,0.022030963,0.07118478790833739,0.022899592322825426
time_signature,0.00513545414540299,0.011243025347484052,0.0005411731372166809,0.0,0.0,0.1101293752560342,0.007898378897376618,0.0007984883065474069,0.027621688,0.0034129692832764505,0.0014536216056671774
chorus_hit,0.020920542660415542,0.02817715363810166,0.009056773892469264,0.011477977995727362,0.0,0.005917508403648977,0.23503474780773512,0.01742271566345918,0.020609878,0.04339346660165773,0.007503714199768205
sections,0.04021095794355861,0.050199443142362105,0.005612023226994315,0.0029148168105749624,0.0,0.0077033831407530865,0.015628531682208454,0.004550145977918504,0.020457331,0.018527547537786446,0.012436186010242895
duration_ms,0.16301594004006148,0.0993598281778037,0.22493527558936743,0.18232432489670328,0.314934634578648,7.8889785997128e-06,0.012726283714444498,0.207645350711247,0.18792689,0.0901999024865919,0.17637968287123523
